nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score,benefit_per_cost
NCT06465823,Efficacy of Bumetanide to Improve Cognitive Functions in Down Syndrome,Recruiting,Phase 2,['Down Syndrome'],['Bumetanide' 'Placebo'],['Italy'],Stefano Vicari,Stefano Vicari,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06471205,A Study of BL-B01D1+PD-1 Monoclonal Antibody in Patients With Unresectable Locally Advanced or Recurrent Metastatic Triple-negative Breast Cancer,Recruiting,Phase 2,['Triple-negative Breast Cancer'],['BL-B01D1' 'PD-1 Monoclonal Antibody'],['China'],"Sichuan Baili Pharmaceutical Co., Ltd.","Sichuan Baili Pharmaceutical Co., Ltd.",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06464068,AGNOSTIC THERAPY IN A PHASE II SINGLE-ARM STUDY IN FIRST-LINE TREATMENT OF DURVALUMAB IN ASSOCIATION WITH CARBOPLATIN OR CISPLATIN AND ETOPOSIDE IN PATIENTS AFFECTED BY EXTENSIVE STAGE - EXTRAPULMONARY SMALL CELL CARCINOMA,Recruiting,Phase 2,['Extrapulmonary Small Cell Carcinoma'],['Durvalumab'],['Italy'],Gruppo Oncologico Italiano di Ricerca Clinica,Gruppo Oncologico Italiano di Ricerca Clinica,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06462378,Proton Therapy for Locally Advanced Cervical Cancer,Recruiting,Phase 2,['Cervical Cancer' 'Proton Therapy' 'Radiotherapy Side Effect'],['Proton therapy'],['Denmark'],University of Aarhus,University of Aarhus,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06462547,ADAPT Study: Long-term Safety Study of INZ-701 in Patients With ENPP1 Deficiency and ABCC6 Deficiency,Recruiting,Phase 2,"['Gene Mutations' 'Pseudoxanthoma Elasticum' 'Arterial Calcification'
 'Ectonucleotide Pyrophosphatase/phosphodiesterase1 Deficiency'
 'Autosomal Recessive Hypophosphatemic Rickets Type 2']",['INZ-701'],['France' 'Germany' 'United Kingdom' 'United States'],Inozyme Pharma,Inozyme Pharma,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06463028,Sapanisertib and Serabelisib (PIKTOR) With Paclitaxel and a Substudy With an Insulin-Suppressing Diet in Patients With Advanced/Recurrent Endometrial Cancer,Recruiting,Phase 2,['Endometrial Cancer'],['Sapanisertib' 'Serabelisib' 'Paclitaxel'],['United States'],Faeth Therapeutics,Faeth Therapeutics,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06463457,Comeback From Long coursE Androgen Deprivation Therapy (ADT) With RElugolix and Darolutamide (CLEARED),"Active, not recruiting",Phase 2,"['Prostate Cancer' 'Advanced Prostate Cancer'
 'Hormone Sensitive Prostate Cancer']",['Darolutamide' 'Relugolix'],['United States'],"Atish Choudhury, MD","Atish Choudhury, MD",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06463665,Efficacy & Safety of Olvimulogene Nanivacirepvec & Platinum-doublet + Physician's Choice of Immune Checkpoint Inhibitor Compared to Docetaxel in NSCL Cancer,Recruiting,Phase 2,"['Advanced Non-squamous Non-small-cell Lung Cancer'
 'Advanced Squamous Non-Small Cell Lung Carcinoma'
 'Metastatic Non-squamous Non Small Cell Lung Cancer'
 'Metastatic Squamous Non-Small Cell Lung Carcinoma'
 'Non-small Cell Lung Cancer' 'Non-small Cell Lung Cancer Stage III'
 'Non-small Cell Lung Cancer Stage IV'
 'Non-small Cell Lung Cancer Recurrent']","['Olvimulogene nanivacirepvec'
 'Platinum chemotherapy: carboplatin or cisplatin'
 'Non-platinum chemotherapy: paclitaxel or nab-paclitaxel for squamous cell NSCLC or pemetrexed for nonsquamous cell NSCLC'
 ""Physician's Choice of Immune Checkpoint Inhibitor: pembrolizumab, nivolumab, cemiplimab, atezolizumab, durvalumab""
 'Docetaxel']",['United States'],Genelux Corporation,Genelux Corporation,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06463691,"Sonrotoclax, Zanubrutinib and CD20mab in Untreated MCL Patients",Recruiting,Phase 2,['MCL'],['BGB-11417' 'BGB-3111' 'CD20'],['China'],Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06463834,A Study of Sintilimab Combined With Chemotherapy for Neoadjuvant Treatment of Esophageal Squamous Cell Carcinoma,Recruiting,Phase 2,['Esophageal Squamous Cell Carcinoma'],['Sintilimab'],['China'],Fujian Cancer Hospital,Fujian Cancer Hospital,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06464913,Randomized Phase II Trial: Chest Wall RT Omission After Prosthetic Reconstruction,Recruiting,Phase 2,['Breast Neoplasms'],['With or without chest wall RT'],['China'],"Second Affiliated Hospital, School of Medicine, Zhejiang University","Second Affiliated Hospital, School of Medicine, Zhejiang University",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06465602,Nicotinamide Supplementation Improves Physical Performance in Older Adults at Risk of Falls,Recruiting,Phase 2,['Frailty' 'Fall' 'Frailty Syndrome' 'Falls'],['Nicotinamide' 'Placebo'],['Chile'],University of Chile,University of Chile,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06464939,Phase 2 Study of KH001 in Long-term Relief from Dentin Hypersensitivity,Recruiting,Phase 2,['Dentin Hypersensitivity'],['KH001' 'Placebo'],['United States'],"HysensBio Co., Ltd","HysensBio Co., Ltd",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06465056,Use of Botulinum Toxin A in Direct Eyebrow Lift Scar,Recruiting,Phase 2,['Skin Scarring' 'Eyebrow Ptosis'],['Botulinum toxin type A'],['Brazil'],University of Sao Paulo,University of Sao Paulo,Global / Multi-Region,2.0,1.0,0.6,0.3
