nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score
NCT06293300,Understanding and Treating Traumatic Brain Injury (TBI) Associated Photophobia With Botulinum Toxin Type A (BoNT-A),Recruiting,Phase 2,['Traumatic Brain Injury'],['BoNT A'],['United States'],University of Miami,University of Miami,Global / Multi-Region,2.0,1.0,0.6
NCT06293365,Two-period Crossover Study to Demonstrate the Comparability of Pharmacokinetics of Subcutaneous Ianalumab Between 2mL Auto-injector/2mL PFS with1mL Pre-filled Syringe in Adult Participants With Autoimmune Disease,"Active, not recruiting",Phase 2,['Sjögrens Disease' 'Systemic Lupus Erythematosus' 'Rheumatoid Arthritis'],['VAY736 1ml PFS' 'VAY736 2 ml PFS' 'VAY736 2ml AI'],"['Argentina' 'Canada' 'Czechia' 'Hungary' 'Italy' 'Poland' 'Spain'
 'United States']",Novartis Pharmaceuticals,Novartis Pharmaceuticals,Global / Multi-Region,2.0,1.0,0.6
NCT06293625,Personalising and Refining Neo-adjuvant Chemotherapy in Locally Advanced but Resecable Colon Cancer in the Elderly of 70 Years Old or More,Recruiting,Phase 3,['Colon Cancer'],['Folfox' 'Surgery'],['France'],Centre Hospitalier Universitaire Dijon,Centre Hospitalier Universitaire Dijon,Global / Multi-Region,4.0,1.0,0.8
NCT06293755,Microneedle Patch With Botulinum Toxin in Management of Enlarged Facial Pores,"Active, not recruiting",Phase 3,['Enlarged Pores'],['Microneedle patch' 'Intradermal injection'],['Thailand'],Dhurakij Pundit University,Dhurakij Pundit University,Global / Multi-Region,4.0,1.0,0.8
NCT06294600,Clarithromycin Treatment to Prevent Sepsis Progression in CAP (REACT),Recruiting,Phase 3,['Community-acquired Pneumonia'],['Clarithromycin 500mg' 'Tablets'],['Greece'],Hellenic Institute for the Study of Sepsis,Hellenic Institute for the Study of Sepsis,Global / Multi-Region,4.0,1.0,0.8
NCT06294678,Effect of Stem Cell Infusion Time on aGVHD in Patients With Hematological Malignancies,Recruiting,Phase 3,['Acute Graft-versus-host Disease'],['Time of stem cell infusion'],['China'],Anhui Provincial Hospital,Anhui Provincial Hospital,Global / Multi-Region,4.0,1.0,0.8
NCT06294691,Effect of Stem Cell Infusion Time on aGVHD in Patients With Nonmalignant Hematologic Diseases,Recruiting,Phase 3,['Acute Graft-versus-host Disease'],['Time of stem cell infusion'],['China'],Anhui Provincial Hospital,Anhui Provincial Hospital,Global / Multi-Region,4.0,1.0,0.8
NCT06294847,Ursodeoxycholic Acid (UDCA) as a Neuroprotective Adjuvant Treatment to Rhegmatogenous Retinal Detachment Surgery,Recruiting,Phase 3,['Retinal Detachment'],['Ursolvan' 'Placebo'],['France'],Hopital Foch,Hopital Foch,Global / Multi-Region,4.0,1.0,0.8
NCT06295159,Neoadjuvant and Adjuvant Anti-PD1 or Combinations for Locoregionally Advanced Melanoma,Recruiting,Phase 2,['Melanoma Stage III' 'Melanoma Stage IV' 'Advanced Melanoma' 'Melanoma'],['Nivolumab' 'Nivolumab + Relatlimab' 'Ipilimumab'],['United States'],H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,Global / Multi-Region,2.0,1.0,0.6
NCT06295302,A Study to Explore the Efficacy and Safety of HWH486 in Adults With Chronic Spontaneous Urticaria,Recruiting,Phase 2,['Chronic Spontaneous Urticaria'],['HWH486' 'Placebo'],['China'],"Hubei Biological Medicine Industrial Technology Institute Co., Ltd.","Hubei Biological Medicine Industrial Technology Institute Co., Ltd.",Global / Multi-Region,2.0,1.0,0.6
NCT06295432,A Phase II Clinical Trial of DZD9008 in Combination With AZD4205 in Standard Treatment Failed NSCLC Patients With EGFR Mutations (WU-KONG21),Recruiting,Phase 2,['Non-small Cell Lung Cancer'],['DZD9008+AZD4205'],['China'],Dizal Pharmaceuticals,Dizal Pharmaceuticals,Global / Multi-Region,2.0,1.0,0.6
NCT06295588,Clinical Trial of the Seaweed Supplement Fucoidan in Survivors of Cancer,Recruiting,Phase 2,['Fatigue' 'Inflammation'],"['Fucoidan extracted from F. Vesiculosus'
 'Fucoidan extracted from U. Pinnatifida']",['United States'],University of Rochester,University of Rochester,Global / Multi-Region,2.0,1.0,0.6
NCT06295692,A Study of JNJ-77242113 for the Treatment of Participants With Generalized Pustular Psoriasis or Erythrodermic Psoriasis,"Active, not recruiting",Phase 3,['Generalized Pustular Psoriasis' 'Erythrodermic Psoriasis'],['JNJ-77242113'],['Japan'],Janssen Pharmaceutical K.K.,Janssen Pharmaceutical K.K.,Global / Multi-Region,4.0,1.0,0.8
