nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score
NCT06178445,Efficacy and Safety of GemCis Plus Trastuzumab Plus Pembrolizumab in Previously Untreated HER2-positive Biliary Tract Cancer,Recruiting,Phase 2,['Biliary Tract Cancer' 'HER2 Gene Mutation' 'HER2'],['SOC plus trastuzumab and pembrolizumab'],['Germany'],Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,Global / Multi-Region,2.0,1.0,0.6
NCT06178588,"Sacituzumab Govitecan for the Treatment for Patients With Locally Advanced, Recurrent, or Metastatic Cholangiocarcinoma",Recruiting,Phase 2,"['Locally Advanced Cholangiocarcinoma' 'Metastatic Cholangiocarcinoma'
 'Recurrent Cholangiocarcinoma'
 'Stage III Hilar Cholangiocarcinoma AJCC v8'
 'Stage III Intrahepatic Cholangiocarcinoma AJCC v8'
 'Stage IV Hilar Cholangiocarcinoma AJCC v8'
 'Stage IV Intrahepatic Cholangiocarcinoma AJCC v8']","['Biopsy' 'Biospecimen Collection' 'Computed Tomography'
 'Magnetic Resonance Imaging' 'Positron Emission Tomography'
 'Sacituzumab Govitecan']",['United States'],University of Kansas Medical Center,University of Kansas Medical Center,Global / Multi-Region,2.0,1.0,0.6
NCT06178601,A Study of RC48-ADC Combined With Cadonilimab（AK104）in the Treatment of HER2-expression Locally Advanced or Metastatic Urothelial Carcinoma,Recruiting,Phase 2,['Urothelial Carcinoma'],['RC48-ADC' 'AK104'],['China'],Shanxi Province Cancer Hospital,Shanxi Province Cancer Hospital,Global / Multi-Region,2.0,1.0,0.6
NCT06179303,"Functional Imaging in Prediction of Response to Abemaciclib for Advanced Hormone Receptor-Positive, HER2-Negative Breast Cancer",Recruiting,Phase 2,"['Anatomic Stage III Breast Cancer AJCC v8'
 'Anatomic Stage IV Breast Cancer AJCC v8'
 'Locally Advanced Unresectable HER2-Negative Breast Carcinoma'
 'Locally Advanced Unresectable Hormone Receptor-Positive Breast Carcinoma'
 'Metastatic HER2-Negative Breast Carcinoma'
 'Metastatic Hormone Receptor-Positive Breast Carcinoma']","['Abemaciclib' 'Anastrozole' 'Biospecimen Collection'
 'Computed Tomography' 'Diagnostic Imaging Testing' 'Exemestane'
 'Fludeoxyglucose F-18' 'Fluorine F 18 Fluoro Furanyl Norprogesterone'
 'Fulvestrant' 'Gonadotropin-releasing Hormone Analog' 'Letrozole'
 'Positron Emission Tomography' 'Tamoxifen' 'Therapeutic Estradiol']",['United States'],University of Washington,University of Washington,Global / Multi-Region,2.0,1.0,0.6
NCT06179524,CAR-T-19 Injection in the Treatment of CD19-positive Relapsed/Refractory B-ALL,Recruiting,Phase 2,"['Relapsed B-cell Acute Lymphoblastic Leukemia'
 'Refractory B-cell Acute Lymphoblastic Leukemia']",['CAR-T-19 cell injection'],['China'],Beijing Yongtai Ruike Biotechnology Company Ltd,Beijing Yongtai Ruike Biotechnology Company Ltd,Global / Multi-Region,2.0,1.0,0.6
NCT06179888,Iberdomide Versus Observation Off Therapy After Idecabtagene Vicleucel CAR-T for Multiple Myeloma,Recruiting,Phase 2,['Multiple Myeloma'],"['Biospecimen Collection' 'Bone Marrow Aspiration' 'Bone Marrow Biopsy'
 'Computed Tomography' 'Iberdomide' 'Magnetic Resonance Imaging'
 'Patient Monitoring' 'Positron Emission Tomography'
 'Skeletal Survey X-Ray']",['United States'],National Cancer Institute (NCI),National Cancer Institute (NCI),Global / Multi-Region,2.0,1.0,0.6
NCT06180356,Niraparib Rechallenge After Surgery in Ovarian Cancer Patients With Oligometastatic Progression,Recruiting,Phase 2,['Ovarian Cancer' 'Oligometastatic Disease' 'Serous Ovarian Tumor'],['Niraparib oral tablets'],['Spain'],MedSIR,MedSIR,Global / Multi-Region,2.0,1.0,0.6
NCT06180733,Neo-adjuvant Pembrolizumab as an Alternative Treatment for MMRd Uterine Cancer,Recruiting,Phase 2,['Endometrial Cancer'],['Pembrolizumab Injection [Keytruda]'],['Netherlands'],University Medical Center Groningen,University Medical Center Groningen,Global / Multi-Region,2.0,1.0,0.6
NCT06180889,Factor XI inhibiTion for the Prevention of Venous Thromboembolism in Patients Undergoing Total Knee Arthroplasty,"Active, not recruiting",Phase 2,"['Knee Arthroplasty, Total']",['Enoxaparin' 'KN060 Low' 'KN060 Middle' 'KN060 Hight'],['China'],"Suzhou Alphamab Co., Ltd.","Suzhou Alphamab Co., Ltd.",Global / Multi-Region,2.0,1.0,0.6
NCT06182085,Study to Assess Safety and Efficacy of PRI-002 in Patients With MCI to Mild Dementia Due to Alzheimer's Disease (AD),"Active, not recruiting",Phase 2,"[""Mild Cognitive Impairment Due to Alzheimer's Disease""
 ""Alzheimer's Disease, Early Onset""]",['PRI-002' 'Placebo'],['Czechia' 'Germany' 'Italy' 'Netherlands' 'Poland' 'Spain'],PRInnovation GmbH,PRInnovation GmbH,Global / Multi-Region,2.0,1.0,0.6
NCT06182839,Canagliflozin in Advanced Renal Disease With MRI Endpoints,Recruiting,Phase 2,"['ESRD, CKD Stage 4, CKD Stage 5']",['Canagliflozin 300Mg Tab' 'Placebo'],['Canada'],McGill University Health Centre/Research Institute of the McGill University Health Centre,McGill University Health Centre/Research Institute of the McGill University Health Centre,Global / Multi-Region,2.0,1.0,0.6
NCT06183073,Caudal Block With Bupivacaine and Dexmedetomidine Versus TAP Block With Bupivacaine Alone for Postoperative Analgesia in Pediatric Undergoing Infraumbical Surgeries,Recruiting,Phase 2,['Postoperative Pain'],['caudal block' 'Dexmedetomidine' 'TAP' 'Bupivacain'],['Egypt'],Sohag University,Sohag University,Global / Multi-Region,2.0,1.0,0.6
NCT06183489,Use of Elranatamab in Patients With High-risk Smoldering Multiple Myeloma,Recruiting,Phase 2,['Smoldering Multiple Myeloma'],['Elranatamab'],['Finland' 'France' 'Greece' 'Italy' 'Netherlands' 'Norway'],Stichting European Myeloma Network,Stichting European Myeloma Network,Global / Multi-Region,2.0,1.0,0.6
NCT06184009,Treatment of Newly Diagnosed High Risk Pediatric Acute Lymphoblastic Leukemia,Recruiting,Phase 2,['Pediatric Acute Lymphoblastic Leukemia'],"['ALL, High risk']",['South Korea'],Jae Wook Lee,Jae Wook Lee,Global / Multi-Region,2.0,1.0,0.6
NCT06184516,Assessment of Decision Tool to Select Women for Gynecologic Sparing Radical Cystectomy,Recruiting,Phase 2,['Urothelial Carcinoma Bladder'],['Reproductive organ sparing radical cystectomy' 'Radical cystectomy'],['United States'],University of Florida,University of Florida,Global / Multi-Region,2.0,1.0,0.6
