nct_id,lead_sponsor_norm,region_label,benefit_score,estimated_trial_cost,enrollment_feasibility_score,brief_title,overall_status,phase,_benefit_raw,_cost_raw,_safety_raw,_pool_score,_rank_score,_sponsor_count
NCT05806060,Fudan University,UNKNOWN,1.0,2.0,1.0,Precise Treatment for BLIS Subtype of TNBC in the First-line Treatment of Locally Advanced or Metastatic Breast Cancer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.10117361387090246,3
NCT05784246,Eli Lilly and Company,UNKNOWN,1.0,2.0,1.0,A Study of Mirikizumab (LY3074828) in Pediatric Participants With Moderately to Severely or Active Ulcerative Colitis,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.10117361387090246,3
NCT05717803,Fudan University,UNKNOWN,1.0,2.0,1.0,Segmentectomy for Ground Glass-dominant Invasive Lung Cancer (ECTOP-1012),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.10117361387090246,3
NCT05674305,Fudan University,UNKNOWN,1.0,2.0,1.0,Radiotherapy Alone Versus Concurrent Chemo-radiotherapy for Nasopharyngeal Carcincoma Patients With Undectable EBV DNA After One Cylce Neoadjuvant Chemotherpy,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.10117361387090246,3
NCT06698042,Merck Sharp & Dohme LLC,UNKNOWN,1.0,2.0,1.0,A Clinical Study of Pembrolizumab (+) Berahyaluronidase Alfa (MK-3475A) to Treat Newly-diagnosed Metastatic Non-small Cell Lung Cancer (MK-3475A-F84),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.10117361387090246,3
NCT05711394,AbbVie,UNKNOWN,1.0,2.0,1.0,A Study to Assess the Adverse Events and Change in Disease Activity of Oral Atogepant Tablets in Pediatric Participants (6-17 Years of Age) With Episodic Migraine,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.05058680693545123,4
NCT06734351,AbbVie,UNKNOWN,1.0,2.0,1.0,A Study to Assess Safety and Effectiveness of Injections of NOA VOLUME Injectable Gel in Adult Participants Compared to JUVÉDERM VOLUMA XC for Change of Mid-Face Volume,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.05058680693545123,4
NCT05609630,AbbVie,UNKNOWN,1.0,2.0,1.0,"Study of Oral Upadacitinib and Subcutaneous/Intravenous Tocilizumab to Evaluate Change in Disease Activity, Adverse Events and How Drug Moves Through the Body of Pediatric and Adolescent Participants With Active Systemic Juvenile Idiopathic Arthritis.",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.05058680693545123,4
NCT06701331,AbbVie,UNKNOWN,1.0,2.0,1.0,Safety and Efficacy of Upadacitinib in Combination With Topical Corticosteroids in Children From 2 to Less Than 12 Years of Age in Japan With Moderate to Severe Atopic Dermatitis,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.05058680693545123,4
NCT05624450,AstraZeneca,UNKNOWN,1.0,2.0,1.0,Efficacy and Safety of Tozorakimab in Patients Hospitalised for Viral Lung Infection Requiring Supplemental Oxygen,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5
NCT06706817,AstraZeneca,UNKNOWN,1.0,2.0,1.0,A Study to Investigate Changes in Symptoms in Adult Participants With Chronic Rhinosinusitis With Nasal Polyposis Initiating Treatment With Tezepelumab,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5
NCT05726916,Assistance Publique - Hôpitaux de Paris,UNKNOWN,1.0,2.0,1.0,Eculizumab in Hypertensive Emergency-associated Hemolytic Uremic Syndrome,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5
NCT05597540,Assistance Publique - Hôpitaux de Paris,UNKNOWN,1.0,2.0,1.0,"Efficacy of 7 Days Versus 14 Days of Antibiotic Therapy for Acute Pyelonephritis in Kidney Transplant Recipients, a Multicentre Randomized Non-inferiority Trial.",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,0.0,5
