nct_id,brief_title,lead_sponsor,overall_status,phase,_benefit_raw,_cost_raw,_safety_raw,_pool_score
NCT06726421,Systemic Therapy Alone or with Stereotactic Body Radiotherapy for Oligometastatic Kidney Cancer (STROKER Study),Sun Yat-sen University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05582265,Tislelizumab Combined With Chemotherapy Followed by Surgery Versus Up-front Surgery in Resectable Head and Neck Squamous Cell Carcinoma (REDUCTION-I),Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06749899,QL1706 (PD-1/CTLA-4 Bi-specific Antibody) and Chemoradiotherapy in Locoregionally-advanced Nasopharyngeal Carcinoma.,Sun Yat-sen University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06749834,Intravenous Thrombolysis and NOAC,"Second Affiliated Hospital, School of Medicine, Zhejiang University",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06744920,"A Study to Investigate the Efficacy, Safety and Tolerability of Remibrutinib Versus Placebo in Adult Patients With Generalized Myasthenia Gravis",Novartis Pharmaceuticals,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06744504,Standard-dose vs Intermediate-dose Cytarabine Induction in the Treatment of Acute Myeloid Leukemia With RUNX1-RUNX1T1,"Institute of Hematology & Blood Diseases Hospital, China",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT06742723,A Phase III Renal Outcomes and Cardiovascular Mortality Study to Investigate the Efficacy and Safety of Baxdrostat in Combination With Dapagliflozin in Participants With Chronic Kidney Disease and High Blood Pressure,AstraZeneca,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05595642,A Study to Evaluate Astegolimab in Participants With Chronic Obstructive Pulmonary Disease,Hoffmann-La Roche,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05597540,"Efficacy of 7 Days Versus 14 Days of Antibiotic Therapy for Acute Pyelonephritis in Kidney Transplant Recipients, a Multicentre Randomized Non-inferiority Trial.",Assistance Publique - Hôpitaux de Paris,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
NCT05600491,A Phase III Study of Postoperative Early Temozolomide Treatment Plus STUPP Regimen for Newly Diagnosed GBM Multiforme,Sun Yat-sen University,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198
