config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,penalty_A,shots,gamma_0,beta_0,best_mean_energy,best_bitstring,jaccard_vs_baseline,selected_n,total_benefit,total_cost,total_safety,objective,objective_norm
K3_lc1.0_ls2.0_sig0.0_seed2_pool6_shots1024_A10.0,3,1.0,2.0,0.0,2,6,10.0,1024,1.5333333333333332,0.2,-79.66796875,100011,0.5,3,0.0,0.0,3.0,6.0,0.5572152584437589
K3_lc1.0_ls2.0_sig0.05_seed0_pool6_shots1024_A10.0,3,1.0,2.0,0.05,0,6,10.0,1024,1.5333333333333332,1.2666666666666666,-82.0463642839254,101100,0.5,3,2.3075795834628354,0.7362156794472429,0.7777386044375431,-0.015886695140506335,0.11325811918718896
K3_lc1.0_ls2.0_sig0.05_seed1_pool6_shots1024_A10.0,3,1.0,2.0,0.05,1,6,10.0,1024,1.0,0.2,-73.1002634642717,011010,0.5,3,1.9620841174650439,2.2530908856049456,0.9892009057293253,2.2694085795985526,0.2819070987880279
K3_lc1.0_ls2.0_sig0.05_seed2_pool6_shots1024_A10.0,3,1.0,2.0,0.05,2,6,10.0,1024,1.0,0.2,-77.01598954770235,010101,0.5,3,2.0984986145090128,1.6991978027203416,0.7211138652392882,1.0429269186899053,0.19139587124654375
K3_lc1.0_ls2.0_sig0.1_seed0_pool6_shots1024_A10.0,3,1.0,2.0,0.1,0,6,10.0,1024,1.5333333333333332,1.2666666666666666,-82.02604572938426,101100,0.5,3,2.3075795834824553,0.745306731910075,0.7777386044269915,-0.006795642718397277,0.11392901573672193
K3_lc1.0_ls2.0_sig0.1_seed1_pool6_shots1024_A10.0,3,1.0,2.0,0.1,1,6,10.0,1024,1.0,0.2,-73.09432109319692,011010,0.5,3,1.9620841174739279,2.2571770130035556,0.9892009057142689,2.2734947069581652,0.2822086445958432
K3_lc1.0_ls2.0_sig0.1_seed2_pool6_shots1024_A10.0,3,1.0,2.0,0.1,2,6,10.0,1024,1.0,0.2,-77.03585731370453,010101,0.5,3,2.0984986145139612,1.7039539307711142,0.7211138652222489,1.0476830467016507,0.19174686139862523
K3_lc2.0_ls0.5_sig0.0_seed0_pool6_shots1024_A10.0,3,2.0,0.5,0.0,0,6,10.0,1024,1.0,0.2,-80.462890625,100110,0.5,3,0.0,0.0,3.0,1.5,0.2251267022765779
K3_lc2.0_ls0.5_sig0.0_seed1_pool6_shots1024_A10.0,3,2.0,0.5,0.0,1,6,10.0,1024,1.0,0.2,-81.0673828125,100011,0.5,3,0.0,0.0,3.0,1.5,0.2251267022765779
K3_lc2.0_ls0.5_sig0.0_seed2_pool6_shots1024_A10.0,3,2.0,0.5,0.0,2,6,10.0,1024,1.0,0.2,-80.576171875,011100,0.5,3,0.0,0.0,3.0,1.5,0.2251267022765779
K3_lc2.0_ls0.5_sig0.05_seed0_pool6_shots1024_A10.0,3,2.0,0.5,0.05,0,6,10.0,1024,1.5333333333333332,1.0,-80.48838362934829,101100,0.5,3,2.3075795834628354,0.7362156794472429,0.7777386044375431,-0.44627892234957817,0.08149626733842498
K3_lc2.0_ls0.5_sig0.05_seed1_pool6_shots1024_A10.0,3,2.0,0.5,0.05,1,6,10.0,1024,1.0,0.2,-76.28783953391151,010101,0.5,3,2.4862197258269436,1.3157694584513009,2.2282552703161445,1.2594468262337304,0.20737448979713938
K3_lc2.0_ls0.5_sig0.05_seed2_pool6_shots1024_A10.0,3,2.0,0.5,0.05,2,6,10.0,1024,1.0,1.8,-79.38330276295582,101001,0.5,3,1.465667972433201,0.3113313446044575,1.9971608790299333,0.15557515629068075,0.1259115677826411
K3_lc2.0_ls0.5_sig0.1_seed0_pool6_shots1024_A10.0,3,2.0,0.5,0.1,0,6,10.0,1024,1.0,0.2,-80.1917515745946,101100,0.5,3,2.3075795834824553,0.745306731910075,0.7777386044269915,-0.4280968174488095,0.0828380604416642
K3_lc2.0_ls0.5_sig0.1_seed1_pool6_shots1024_A10.0,3,2.0,0.5,0.1,1,6,10.0,1024,1.0,0.2,-76.22646107769376,010101,0.5,3,2.4862197258382026,1.3195328166628655,2.2282552703103677,1.2669735426427122,0.20792994232712572
K3_lc2.0_ls0.5_sig0.1_seed2_pool6_shots1024_A10.0,3,2.0,0.5,0.1,2,6,10.0,1024,1.0,1.8,-79.43144555598599,101001,0.5,3,1.4656679724366575,0.31468033416502084,1.997160879022434,0.1622731354046012,0.12640586160779216
K3_lc2.0_ls1.0_sig0.0_seed0_pool6_shots1024_A10.0,3,2.0,1.0,0.0,0,6,10.0,1024,1.0,0.2,-74.19140625,010110,0.5,3,0.0,0.0,3.0,3.0,0.3358228876656382
K3_lc2.0_ls1.0_sig0.0_seed1_pool6_shots1024_A10.0,3,2.0,1.0,0.0,1,6,10.0,1024,1.0,0.2,-74.2177734375,010110,0.5,3,0.0,0.0,3.0,3.0,0.3358228876656382
K3_lc2.0_ls1.0_sig0.0_seed2_pool6_shots1024_A10.0,3,2.0,1.0,0.0,2,6,10.0,1024,1.0,0.2,-73.7861328125,101100,0.5,3,0.0,0.0,3.0,3.0,0.3358228876656382
K3_lc2.0_ls1.0_sig0.05_seed0_pool6_shots1024_A10.0,3,2.0,1.0,0.05,0,6,10.0,1024,1.5333333333333332,1.2666666666666666,-79.96720190033757,101100,0.5,3,2.3075795834628354,0.7362156794472429,0.7777386044375431,-0.05740962013080664,0.11019383291877409
K3_lc2.0_ls1.0_sig0.05_seed1_pool6_shots1024_A10.0,3,2.0,1.0,0.05,1,6,10.0,1024,1.5333333333333332,0.2,-74.44412883756519,011001,0.5,3,1.7465391194284263,1.2530908856586276,1.4187253648762637,2.1783680167650923,0.2751885367738031
K3_lc2.0_ls1.0_sig0.05_seed2_pool6_shots1024_A10.0,3,2.0,1.0,0.05,2,6,10.0,1024,1.0,0.2,-77.18684462167924,101001,0.5,3,1.465667972433201,0.3113313446044575,1.9971608790299333,1.1541555958056473,0.19960426475493312
K3_lc2.0_ls1.0_sig0.1_seed0_pool6_shots1024_A10.0,3,2.0,1.0,0.1,0,6,10.0,1024,1.5333333333333332,1.2666666666666666,-79.88355287632166,101100,0.5,3,2.3075795834824553,0.745306731910075,0.7777386044269915,-0.03922751523531376,0.11153562602162395
