config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,p,penalty_A,shots,jaccard_vs_baseline,best_energy,best_bitstring,gamma_0,beta_0,selected_n,total_benefit,total_cost,total_safety,objective,objective_norm
K9_lc2_ls2_sig0.05_seed1_pool12_p1_A10_sh128,9,2.0,2.0,0.05,1,12,1,10.0,128,0.6363636363636364,29.911303670559562,001111110111,0.9000000000000001,0.2,9,5.508663168387212,17.70998341947339,0.0,-29.911303670559565,0.2806028245281037
K9_lc2_ls2_sig0.05_seed2_pool12_p1_A10_sh128,9,2.0,2.0,0.05,2,12,1,10.0,128,0.5,30.265212529210793,011011111011,0.55,1.25,9,5.440744301845133,17.85297841552796,0.0,-30.26521252921079,0.2715368002524461
K9_lc2_ls2_sig0.1_seed0_pool12_p1_A10_sh128,9,2.0,2.0,0.1,0,12,1,10.0,128,0.5,28.412703295067093,010101111111,0.9000000000000001,0.55,9,5.443067983578981,16.927885639323037,0.0,-28.412703295067093,0.3189922207006185
K9_lc2_ls2_sig0.1_seed1_pool12_p1_A10_sh128,9,2.0,2.0,0.1,1,12,1,10.0,128,0.6363636363636364,29.234236052697415,001111110111,0.9000000000000001,0.55,9,5.621599915355396,17.427917984026404,0.0,-29.234236052697412,0.297947152904606
K9_lc2_ls2_sig0.1_seed2_pool12_p1_A10_sh128,9,2.0,2.0,0.1,2,12,1,10.0,128,0.5,30.01239091628418,110011111011,0.9000000000000001,0.55,9,5.514286929946554,17.763338923115366,0.0,-30.01239091628418,0.27801328939413894
K12_lc0.5_ls0.5_sig0_seed0_pool12_p1_A10_sh128,12,0.5,0.5,0.0,0,12,1,10.0,128,0.75,4.8,111111111111,0.2,0.2,12,7.199999999999998,24.0,0.0,-4.800000000000002,0.9238749074545759
K12_lc0.5_ls0.5_sig0_seed1_pool12_p1_A10_sh128,12,0.5,0.5,0.0,1,12,1,10.0,128,0.75,4.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-4.800000000000002,0.9238749074545759
K12_lc0.5_ls0.5_sig0_seed2_pool12_p1_A10_sh128,12,0.5,0.5,0.0,2,12,1,10.0,128,0.75,4.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-4.800000000000002,0.9238749074545759
K12_lc0.5_ls0.5_sig0.05_seed0_pool12_p1_A10_sh128,12,0.5,0.5,0.05,0,12,1,10.0,128,0.75,4.651693537200173,111111111111,0.2,0.2,12,7.2124213027767405,23.728229679953827,0.0,-4.651693537200173,0.9276740494062761
K12_lc0.5_ls0.5_sig0.05_seed1_pool12_p1_A10_sh128,12,0.5,0.5,0.05,1,12,1,10.0,128,0.75,4.715557949317654,111111111111,0.2,0.55,12,7.288295788217266,24.007707475069843,0.0,-4.715557949317655,0.9260380454000064
K12_lc0.5_ls0.5_sig0.05_seed2_pool12_p1_A10_sh128,12,0.5,0.5,0.05,2,12,1,10.0,128,0.75,4.78547531762929,111111111111,0.2,0.55,12,7.227730658530596,24.02641195231977,0.0,-4.785475317629289,0.9242469838232515
K12_lc0.5_ls0.5_sig0.1_seed0_pool12_p1_A10_sh128,12,0.5,0.5,0.1,0,12,1,10.0,128,0.75,4.522183316489365,111111111111,0.2,0.2,12,7.233837624245047,23.51204188146882,0.0,-4.522183316489364,0.9309916911555806
K12_lc0.5_ls0.5_sig0.1_seed1_pool12_p1_A10_sh128,12,0.5,0.5,0.1,1,12,1,10.0,128,0.75,4.636025255669506,111111111111,0.2,0.55,12,7.383714650631953,24.039479812602917,0.0,-4.636025255669505,0.9280754211641241
K12_lc0.5_ls0.5_sig0.1_seed2_pool12_p1_A10_sh128,12,0.5,0.5,0.1,2,12,1,10.0,128,0.75,4.760191567126682,111111111111,0.2,0.55,12,7.27479415906571,24.069971452384785,0.0,-4.760191567126682,0.9248946734479474
K12_lc0.5_ls1_sig0_seed0_pool12_p1_A10_sh128,12,0.5,1.0,0.0,0,12,1,10.0,128,0.75,4.8,111111111111,0.2,0.2,12,7.199999999999998,24.0,0.0,-4.800000000000002,0.9238749074545759
K12_lc0.5_ls1_sig0_seed1_pool12_p1_A10_sh128,12,0.5,1.0,0.0,1,12,1,10.0,128,0.75,4.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-4.800000000000002,0.9238749074545759
K12_lc0.5_ls1_sig0_seed2_pool12_p1_A10_sh128,12,0.5,1.0,0.0,2,12,1,10.0,128,0.75,4.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-4.800000000000002,0.9238749074545759
K12_lc0.5_ls1_sig0.05_seed0_pool12_p1_A10_sh128,12,0.5,1.0,0.05,0,12,1,10.0,128,0.75,4.651693537200173,111111111111,0.2,0.2,12,7.2124213027767405,23.728229679953827,0.0,-4.651693537200173,0.9276740494062761
K12_lc0.5_ls1_sig0.05_seed1_pool12_p1_A10_sh128,12,0.5,1.0,0.05,1,12,1,10.0,128,0.75,4.715557949317654,111111111111,0.2,0.55,12,7.288295788217266,24.007707475069843,0.0,-4.715557949317655,0.9260380454000064
K12_lc0.5_ls1_sig0.05_seed2_pool12_p1_A10_sh128,12,0.5,1.0,0.05,2,12,1,10.0,128,0.75,4.78547531762929,111111111111,0.2,0.55,12,7.227730658530596,24.02641195231977,0.0,-4.785475317629289,0.9242469838232515
K12_lc0.5_ls1_sig0.1_seed0_pool12_p1_A10_sh128,12,0.5,1.0,0.1,0,12,1,10.0,128,0.75,4.522183316489365,111111111111,0.2,0.2,12,7.233837624245047,23.51204188146882,0.0,-4.522183316489364,0.9309916911555806
K12_lc0.5_ls1_sig0.1_seed1_pool12_p1_A10_sh128,12,0.5,1.0,0.1,1,12,1,10.0,128,0.75,4.636025255669506,111111111111,0.2,0.55,12,7.383714650631953,24.039479812602917,0.0,-4.636025255669505,0.9280754211641241
K12_lc0.5_ls1_sig0.1_seed2_pool12_p1_A10_sh128,12,0.5,1.0,0.1,2,12,1,10.0,128,0.75,4.760191567126682,111111111111,0.2,0.55,12,7.27479415906571,24.069971452384785,0.0,-4.760191567126682,0.9248946734479474
K12_lc0.5_ls2_sig0_seed0_pool12_p1_A10_sh128,12,0.5,2.0,0.0,0,12,1,10.0,128,0.75,4.8,111111111111,0.2,0.2,12,7.199999999999998,24.0,0.0,-4.800000000000002,0.9238749074545759
K12_lc0.5_ls2_sig0_seed1_pool12_p1_A10_sh128,12,0.5,2.0,0.0,1,12,1,10.0,128,0.75,4.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-4.800000000000002,0.9238749074545759
K12_lc0.5_ls2_sig0_seed2_pool12_p1_A10_sh128,12,0.5,2.0,0.0,2,12,1,10.0,128,0.75,4.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-4.800000000000002,0.9238749074545759
K12_lc0.5_ls2_sig0.05_seed0_pool12_p1_A10_sh128,12,0.5,2.0,0.05,0,12,1,10.0,128,0.75,4.651693537200173,111111111111,0.2,0.2,12,7.2124213027767405,23.728229679953827,0.0,-4.651693537200173,0.9276740494062761
K12_lc0.5_ls2_sig0.05_seed1_pool12_p1_A10_sh128,12,0.5,2.0,0.05,1,12,1,10.0,128,0.75,4.715557949317654,111111111111,0.2,0.55,12,7.288295788217266,24.007707475069843,0.0,-4.715557949317655,0.9260380454000064
K12_lc0.5_ls2_sig0.05_seed2_pool12_p1_A10_sh128,12,0.5,2.0,0.05,2,12,1,10.0,128,0.75,4.78547531762929,111111111111,0.2,0.55,12,7.227730658530596,24.02641195231977,0.0,-4.785475317629289,0.9242469838232515
K12_lc0.5_ls2_sig0.1_seed0_pool12_p1_A10_sh128,12,0.5,2.0,0.1,0,12,1,10.0,128,0.75,4.522183316489365,111111111111,0.2,0.2,12,7.233837624245047,23.51204188146882,0.0,-4.522183316489364,0.9309916911555806
K12_lc0.5_ls2_sig0.1_seed1_pool12_p1_A10_sh128,12,0.5,2.0,0.1,1,12,1,10.0,128,0.75,4.636025255669506,111111111111,0.2,0.55,12,7.383714650631953,24.039479812602917,0.0,-4.636025255669505,0.9280754211641241
K12_lc0.5_ls2_sig0.1_seed2_pool12_p1_A10_sh128,12,0.5,2.0,0.1,2,12,1,10.0,128,0.75,4.760191567126682,111111111111,0.2,0.55,12,7.27479415906571,24.069971452384785,0.0,-4.760191567126682,0.9248946734479474
K12_lc1_ls0.5_sig0_seed0_pool12_p1_A10_sh128,12,1.0,0.5,0.0,0,12,1,10.0,128,0.75,16.8,111111111111,0.2,0.2,12,7.199999999999998,24.0,0.0,-16.8,0.6164729064916504
K12_lc1_ls0.5_sig0_seed1_pool12_p1_A10_sh128,12,1.0,0.5,0.0,1,12,1,10.0,128,0.75,16.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-16.8,0.6164729064916504
K12_lc1_ls0.5_sig0_seed2_pool12_p1_A10_sh128,12,1.0,0.5,0.0,2,12,1,10.0,128,0.75,16.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-16.8,0.6164729064916504
K12_lc1_ls0.5_sig0.05_seed0_pool12_p1_A10_sh128,12,1.0,0.5,0.05,0,12,1,10.0,128,0.75,16.515808377177088,111111111111,0.2,0.2,12,7.2124213027767405,23.728229679953827,0.0,-16.515808377177088,0.6237529959510392
K12_lc1_ls0.5_sig0.05_seed1_pool12_p1_A10_sh128,12,1.0,0.5,0.05,1,12,1,10.0,128,0.75,16.719411686852574,111111111111,0.2,0.55,12,7.288295788217266,24.007707475069843,0.0,-16.719411686852578,0.6185373238846291
K12_lc1_ls0.5_sig0.05_seed2_pool12_p1_A10_sh128,12,1.0,0.5,0.05,2,12,1,10.0,128,0.75,16.798681293789176,111111111111,0.2,0.55,12,7.227730658530596,24.02641195231977,0.0,-16.798681293789173,0.6165066875689746
K12_lc1_ls0.5_sig0.1_seed0_pool12_p1_A10_sh128,12,1.0,0.5,0.1,0,12,1,10.0,128,0.75,16.278204257223774,111111111111,0.2,0.2,12,7.233837624245047,23.51204188146882,0.0,-16.278204257223774,0.6298396611102628
K12_lc1_ls0.5_sig0.1_seed1_pool12_p1_A10_sh128,12,1.0,0.5,0.1,1,12,1,10.0,128,0.75,16.65576516197096,111111111111,0.2,0.55,12,7.383714650631953,24.039479812602917,0.0,-16.65576516197096,0.6201677463098746
K12_lc1_ls0.5_sig0.1_seed2_pool12_p1_A10_sh128,12,1.0,0.5,0.1,2,12,1,10.0,128,0.75,16.795177293319075,111111111111,0.2,0.55,12,7.27479415906571,24.069971452384785,0.0,-16.795177293319075,0.6165964489652983
K12_lc1_ls1_sig0_seed0_pool12_p1_A10_sh128,12,1.0,1.0,0.0,0,12,1,10.0,128,0.75,16.8,111111111111,0.2,0.2,12,7.199999999999998,24.0,0.0,-16.8,0.6164729064916504
K12_lc1_ls1_sig0_seed1_pool12_p1_A10_sh128,12,1.0,1.0,0.0,1,12,1,10.0,128,0.75,16.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-16.8,0.6164729064916504
K12_lc1_ls1_sig0_seed2_pool12_p1_A10_sh128,12,1.0,1.0,0.0,2,12,1,10.0,128,0.75,16.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-16.8,0.6164729064916504
K12_lc1_ls1_sig0.05_seed0_pool12_p1_A10_sh128,12,1.0,1.0,0.05,0,12,1,10.0,128,0.75,16.515808377177088,111111111111,0.2,0.2,12,7.2124213027767405,23.728229679953827,0.0,-16.515808377177088,0.6237529959510392
K12_lc1_ls1_sig0.05_seed1_pool12_p1_A10_sh128,12,1.0,1.0,0.05,1,12,1,10.0,128,0.75,16.719411686852574,111111111111,0.2,0.55,12,7.288295788217266,24.007707475069843,0.0,-16.719411686852578,0.6185373238846291
K12_lc1_ls1_sig0.05_seed2_pool12_p1_A10_sh128,12,1.0,1.0,0.05,2,12,1,10.0,128,0.75,16.798681293789176,111111111111,0.2,0.55,12,7.227730658530596,24.02641195231977,0.0,-16.798681293789173,0.6165066875689746
K12_lc1_ls1_sig0.1_seed0_pool12_p1_A10_sh128,12,1.0,1.0,0.1,0,12,1,10.0,128,0.75,16.278204257223774,111111111111,0.2,0.2,12,7.233837624245047,23.51204188146882,0.0,-16.278204257223774,0.6298396611102628
K12_lc1_ls1_sig0.1_seed1_pool12_p1_A10_sh128,12,1.0,1.0,0.1,1,12,1,10.0,128,0.75,16.65576516197096,111111111111,0.2,0.55,12,7.383714650631953,24.039479812602917,0.0,-16.65576516197096,0.6201677463098746
K12_lc1_ls1_sig0.1_seed2_pool12_p1_A10_sh128,12,1.0,1.0,0.1,2,12,1,10.0,128,0.75,16.795177293319075,111111111111,0.2,0.55,12,7.27479415906571,24.069971452384785,0.0,-16.795177293319075,0.6165964489652983
K12_lc1_ls2_sig0_seed0_pool12_p1_A10_sh128,12,1.0,2.0,0.0,0,12,1,10.0,128,0.75,16.8,111111111111,0.2,0.2,12,7.199999999999998,24.0,0.0,-16.8,0.6164729064916504
K12_lc1_ls2_sig0_seed1_pool12_p1_A10_sh128,12,1.0,2.0,0.0,1,12,1,10.0,128,0.75,16.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-16.8,0.6164729064916504
K12_lc1_ls2_sig0_seed2_pool12_p1_A10_sh128,12,1.0,2.0,0.0,2,12,1,10.0,128,0.75,16.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-16.8,0.6164729064916504
K12_lc1_ls2_sig0.05_seed0_pool12_p1_A10_sh128,12,1.0,2.0,0.05,0,12,1,10.0,128,0.75,16.515808377177088,111111111111,0.2,0.2,12,7.2124213027767405,23.728229679953827,0.0,-16.515808377177088,0.6237529959510392
K12_lc1_ls2_sig0.05_seed1_pool12_p1_A10_sh128,12,1.0,2.0,0.05,1,12,1,10.0,128,0.75,16.719411686852574,111111111111,0.2,0.55,12,7.288295788217266,24.007707475069843,0.0,-16.719411686852578,0.6185373238846291
K12_lc1_ls2_sig0.05_seed2_pool12_p1_A10_sh128,12,1.0,2.0,0.05,2,12,1,10.0,128,0.75,16.798681293789176,111111111111,0.2,0.55,12,7.227730658530596,24.02641195231977,0.0,-16.798681293789173,0.6165066875689746
K12_lc1_ls2_sig0.1_seed0_pool12_p1_A10_sh128,12,1.0,2.0,0.1,0,12,1,10.0,128,0.75,16.278204257223774,111111111111,0.2,0.2,12,7.233837624245047,23.51204188146882,0.0,-16.278204257223774,0.6298396611102628
K12_lc1_ls2_sig0.1_seed1_pool12_p1_A10_sh128,12,1.0,2.0,0.1,1,12,1,10.0,128,0.75,16.65576516197096,111111111111,0.2,0.55,12,7.383714650631953,24.039479812602917,0.0,-16.65576516197096,0.6201677463098746
K12_lc1_ls2_sig0.1_seed2_pool12_p1_A10_sh128,12,1.0,2.0,0.1,2,12,1,10.0,128,0.75,16.795177293319075,111111111111,0.2,0.55,12,7.27479415906571,24.069971452384785,0.0,-16.795177293319075,0.6165964489652983
K12_lc2_ls0.5_sig0_seed0_pool12_p1_A10_sh128,12,2.0,0.5,0.0,0,12,1,10.0,128,0.75,40.8,111111111111,0.2,0.2,12,7.199999999999998,24.0,0.0,-40.800000000000004,0.00166890456579924
K12_lc2_ls0.5_sig0_seed1_pool12_p1_A10_sh128,12,2.0,0.5,0.0,1,12,1,10.0,128,0.75,40.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-40.800000000000004,0.00166890456579924
K12_lc2_ls0.5_sig0_seed2_pool12_p1_A10_sh128,12,2.0,0.5,0.0,2,12,1,10.0,128,0.75,40.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-40.800000000000004,0.00166890456579924
K12_lc2_ls0.5_sig0.05_seed0_pool12_p1_A10_sh128,12,2.0,0.5,0.05,0,12,1,10.0,128,0.75,40.244038057130915,111111111111,0.2,0.2,12,7.2124213027767405,23.728229679953827,0.0,-40.244038057130915,0.01591088904056539
K12_lc2_ls0.5_sig0.05_seed1_pool12_p1_A10_sh128,12,2.0,0.5,0.05,1,12,1,10.0,128,0.75,40.72711916192242,111111111111,0.2,0.55,12,7.288295788217266,24.007707475069843,0.0,-40.72711916192242,0.003535880853874685
K12_lc2_ls0.5_sig0.05_seed2_pool12_p1_A10_sh128,12,2.0,0.5,0.05,2,12,1,10.0,128,0.75,40.82509324610895,111111111111,0.2,0.55,12,7.227730658530596,24.02641195231977,0.0,-40.82509324610894,0.0010260950604206902
K12_lc2_ls0.5_sig0.1_seed0_pool12_p1_A10_sh128,12,2.0,0.5,0.1,0,12,1,10.0,128,0.75,39.790246138692595,111111111111,0.2,0.2,12,7.233837624245047,23.51204188146882,0.0,-39.790246138692595,0.02753560101962741
K12_lc2_ls0.5_sig0.1_seed1_pool12_p1_A10_sh128,12,2.0,0.5,0.1,1,12,1,10.0,128,0.75,40.69524497457388,111111111111,0.2,0.55,12,7.383714650631953,24.039479812602917,0.0,-40.69524497457388,0.004352396601375256
K12_lc2_ls0.5_sig0.1_seed2_pool12_p1_A10_sh128,12,2.0,0.5,0.1,2,12,1,10.0,128,0.75,40.865148745703856,111111111111,0.2,0.55,12,7.27479415906571,24.069971452384785,0.0,-40.86514874570386,0.0
K12_lc2_ls1_sig0_seed0_pool12_p1_A10_sh128,12,2.0,1.0,0.0,0,12,1,10.0,128,0.75,40.8,111111111111,0.2,0.2,12,7.199999999999998,24.0,0.0,-40.800000000000004,0.00166890456579924
K12_lc2_ls1_sig0_seed1_pool12_p1_A10_sh128,12,2.0,1.0,0.0,1,12,1,10.0,128,0.75,40.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-40.800000000000004,0.00166890456579924
K12_lc2_ls1_sig0_seed2_pool12_p1_A10_sh128,12,2.0,1.0,0.0,2,12,1,10.0,128,0.75,40.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-40.800000000000004,0.00166890456579924
K12_lc2_ls1_sig0.05_seed0_pool12_p1_A10_sh128,12,2.0,1.0,0.05,0,12,1,10.0,128,0.75,40.244038057130915,111111111111,0.2,0.2,12,7.2124213027767405,23.728229679953827,0.0,-40.244038057130915,0.01591088904056539
K12_lc2_ls1_sig0.05_seed1_pool12_p1_A10_sh128,12,2.0,1.0,0.05,1,12,1,10.0,128,0.75,40.72711916192242,111111111111,0.2,0.55,12,7.288295788217266,24.007707475069843,0.0,-40.72711916192242,0.003535880853874685
K12_lc2_ls1_sig0.05_seed2_pool12_p1_A10_sh128,12,2.0,1.0,0.05,2,12,1,10.0,128,0.75,40.82509324610895,111111111111,0.2,0.55,12,7.227730658530596,24.02641195231977,0.0,-40.82509324610894,0.0010260950604206902
K12_lc2_ls1_sig0.1_seed0_pool12_p1_A10_sh128,12,2.0,1.0,0.1,0,12,1,10.0,128,0.75,39.790246138692595,111111111111,0.2,0.2,12,7.233837624245047,23.51204188146882,0.0,-39.790246138692595,0.02753560101962741
K12_lc2_ls1_sig0.1_seed1_pool12_p1_A10_sh128,12,2.0,1.0,0.1,1,12,1,10.0,128,0.75,40.69524497457388,111111111111,0.2,0.55,12,7.383714650631953,24.039479812602917,0.0,-40.69524497457388,0.004352396601375256
K12_lc2_ls1_sig0.1_seed2_pool12_p1_A10_sh128,12,2.0,1.0,0.1,2,12,1,10.0,128,0.75,40.865148745703856,111111111111,0.2,0.55,12,7.27479415906571,24.069971452384785,0.0,-40.86514874570386,0.0
K12_lc2_ls2_sig0_seed0_pool12_p1_A10_sh128,12,2.0,2.0,0.0,0,12,1,10.0,128,0.75,40.8,111111111111,0.2,0.2,12,7.199999999999998,24.0,0.0,-40.800000000000004,0.00166890456579924
K12_lc2_ls2_sig0_seed1_pool12_p1_A10_sh128,12,2.0,2.0,0.0,1,12,1,10.0,128,0.75,40.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-40.800000000000004,0.00166890456579924
K12_lc2_ls2_sig0_seed2_pool12_p1_A10_sh128,12,2.0,2.0,0.0,2,12,1,10.0,128,0.75,40.8,111111111111,0.2,0.55,12,7.199999999999998,24.0,0.0,-40.800000000000004,0.00166890456579924
K12_lc2_ls2_sig0.05_seed0_pool12_p1_A10_sh128,12,2.0,2.0,0.05,0,12,1,10.0,128,0.75,40.244038057130915,111111111111,0.2,0.2,12,7.2124213027767405,23.728229679953827,0.0,-40.244038057130915,0.01591088904056539
K12_lc2_ls2_sig0.05_seed1_pool12_p1_A10_sh128,12,2.0,2.0,0.05,1,12,1,10.0,128,0.75,40.72711916192242,111111111111,0.2,0.55,12,7.288295788217266,24.007707475069843,0.0,-40.72711916192242,0.003535880853874685
K12_lc2_ls2_sig0.05_seed2_pool12_p1_A10_sh128,12,2.0,2.0,0.05,2,12,1,10.0,128,0.75,40.82509324610895,111111111111,0.2,0.55,12,7.227730658530596,24.02641195231977,0.0,-40.82509324610894,0.0010260950604206902
K12_lc2_ls2_sig0.1_seed0_pool12_p1_A10_sh128,12,2.0,2.0,0.1,0,12,1,10.0,128,0.75,39.790246138692595,111111111111,0.2,0.2,12,7.233837624245047,23.51204188146882,0.0,-39.790246138692595,0.02753560101962741
K12_lc2_ls2_sig0.1_seed1_pool12_p1_A10_sh128,12,2.0,2.0,0.1,1,12,1,10.0,128,0.75,40.69524497457388,111111111111,0.2,0.55,12,7.383714650631953,24.039479812602917,0.0,-40.69524497457388,0.004352396601375256
K12_lc2_ls2_sig0.1_seed2_pool12_p1_A10_sh128,12,2.0,2.0,0.1,2,12,1,10.0,128,0.75,40.865148745703856,111111111111,0.2,0.55,12,7.27479415906571,24.069971452384785,0.0,-40.86514874570386,0.0
