K,lambda_cost,lambda_safety,noise_sigma,pool_size,p,penalty_A,shots,objective_mean,objective_std,objective_norm_mean,jaccard_mean,jaccard_std,n_runs
6,0.5,0.5,0.1,12,1,10.0,128,-1.9512977584245579,0.10652757599104086,0.996849638221898,0.3636363636363636,0.0,3
6,0.5,1.0,0.1,12,1,10.0,128,-1.9512977584245579,0.10652757599104086,0.996849638221898,0.3636363636363636,0.0,3
6,0.5,2.0,0.1,12,1,10.0,128,-1.9512977584245579,0.10652757599104086,0.996849638221898,0.3636363636363636,0.0,3
6,0.5,0.5,0.05,12,1,10.0,128,-2.1810308181861107,0.062375051053690476,0.9909646047003949,0.4090909090909091,0.0787295821622217,3
6,0.5,1.0,0.05,12,1,10.0,128,-2.1810308181861107,0.062375051053690476,0.9909646047003949,0.4090909090909091,0.0787295821622217,3
6,0.5,2.0,0.05,12,1,10.0,128,-2.1810308181861107,0.062375051053690476,0.9909646047003949,0.4090909090909091,0.0787295821622217,3
6,0.5,0.5,0.0,12,1,10.0,128,-2.4,0.0,0.9853553076471612,0.4090909090909091,0.0787295821622217,3
6,0.5,1.0,0.0,12,1,10.0,128,-2.4,0.0,0.9853553076471612,0.4090909090909091,0.0787295821622217,3
6,0.5,2.0,0.0,12,1,10.0,128,-2.4,0.0,0.9853553076471612,0.4090909090909091,0.0787295821622217,3
9,0.5,0.5,0.1,12,1,10.0,128,-3.137272729588139,0.14419972407331524,0.9664687149529284,0.5454545454545454,0.0787295821622217,3
