config_key,nct_id
K=75|lc=0.0|ls=1.0,NCT05701956
K=75|lc=0.0|ls=1.0,NCT05702034
K=75|lc=0.0|ls=1.0,NCT05703178
K=75|lc=0.0|ls=1.0,NCT05703672
K=75|lc=0.0|ls=1.0,NCT05704244
K=75|lc=0.0|ls=1.0,NCT05704738
K=75|lc=0.0|ls=1.0,NCT05705349
K=75|lc=0.0|ls=1.0,NCT05705401
K=75|lc=0.0|ls=1.0,NCT05706402
K=75|lc=0.0|ls=1.0,NCT05707442
K=75|lc=0.0|ls=1.0,NCT05707949
K=75|lc=0.0|ls=1.0,NCT05709028
K=75|lc=0.0|ls=1.0,NCT05709249
K=75|lc=0.0|ls=1.0,NCT05710198
K=75|lc=0.0|ls=1.0,NCT05711394
K=75|lc=0.0|ls=1.0,NCT05711667
K=75|lc=0.0|ls=1.0,NCT05711940
K=75|lc=0.0|ls=1.0,NCT05712200
K=75|lc=0.0|ls=1.0,NCT05712694
K=75|lc=0.0|ls=1.0,NCT05714202
K=75|lc=0.0|ls=1.0,NCT05715814
K=75|lc=0.0|ls=1.0,NCT05716100
K=75|lc=0.0|ls=1.0,NCT05716880
K=75|lc=0.0|ls=1.0,NCT05717166
K=75|lc=0.0|ls=1.0,NCT05717725
K=75|lc=0.0|ls=1.0,NCT05717803
K=75|lc=0.0|ls=1.0,NCT05718817
K=75|lc=0.0|ls=1.0,NCT05719467
K=75|lc=0.0|ls=1.0,NCT05720026
K=75|lc=0.0|ls=1.0,NCT05720338
K=75|lc=0.0|ls=1.0,NCT05721755
K=75|lc=0.0|ls=1.0,NCT05722015
K=75|lc=0.0|ls=1.0,NCT05722938
K=75|lc=0.0|ls=1.0,NCT05723198
K=75|lc=0.0|ls=1.0,NCT05723536
K=75|lc=0.0|ls=1.0,NCT05723835
K=75|lc=0.0|ls=1.0,NCT05724446
K=75|lc=0.0|ls=1.0,NCT05725018
K=75|lc=0.0|ls=1.0,NCT05726110
K=75|lc=0.0|ls=1.0,NCT05726227
K=75|lc=0.0|ls=1.0,NCT05726630
K=75|lc=0.0|ls=1.0,NCT05726786
K=75|lc=0.0|ls=1.0,NCT05726916
K=75|lc=0.0|ls=1.0,NCT05727397
K=75|lc=0.0|ls=1.0,NCT05727904
K=75|lc=0.0|ls=1.0,NCT05730036
K=75|lc=0.0|ls=1.0,NCT05730699
K=75|lc=0.0|ls=1.0,NCT05732272
K=75|lc=0.0|ls=1.0,NCT05732727
K=75|lc=0.0|ls=1.0,NCT05732805
K=75|lc=0.0|ls=1.0,NCT05734105
K=75|lc=0.0|ls=1.0,NCT05734794
K=75|lc=0.0|ls=1.0,NCT05735145
K=75|lc=0.0|ls=2.0,NCT00002462
K=75|lc=0.0|ls=2.0,NCT05659082
K=75|lc=0.0|ls=2.0,NCT05669092
K=75|lc=0.0|ls=2.0,NCT05672576
K=75|lc=0.0|ls=2.0,NCT05673148
K=75|lc=0.0|ls=2.0,NCT05673590
K=75|lc=0.0|ls=2.0,NCT05673629
K=75|lc=0.0|ls=2.0,NCT05673902
K=75|lc=0.0|ls=2.0,NCT05674305
K=75|lc=0.0|ls=2.0,NCT05674539
K=75|lc=0.0|ls=2.0,NCT05674994
K=75|lc=0.0|ls=2.0,NCT05696093
K=75|lc=0.0|ls=2.0,NCT05696353
K=75|lc=0.0|ls=2.0,NCT05696613
K=75|lc=0.0|ls=2.0,NCT05696626
K=75|lc=0.0|ls=2.0,NCT05696717
K=75|lc=0.0|ls=2.0,NCT05697471
K=75|lc=0.0|ls=2.0,NCT05697770
K=75|lc=0.0|ls=2.0,NCT05698550
K=75|lc=0.0|ls=2.0,NCT05699174
K=75|lc=0.0|ls=2.0,NCT05701436
K=75|lc=0.0|ls=2.0,NCT05701774
K=75|lc=0.0|ls=2.0,NCT05701956
K=75|lc=0.0|ls=2.0,NCT05702034
K=75|lc=0.0|ls=2.0,NCT05703178
K=75|lc=0.0|ls=2.0,NCT05703672
K=75|lc=0.0|ls=2.0,NCT05704244
K=75|lc=0.0|ls=2.0,NCT05704738
K=75|lc=0.0|ls=2.0,NCT05705349
K=75|lc=0.0|ls=2.0,NCT05705401
K=75|lc=0.0|ls=2.0,NCT05706402
K=75|lc=0.0|ls=2.0,NCT05707442
K=75|lc=0.0|ls=2.0,NCT05707949
K=75|lc=0.0|ls=2.0,NCT05709028
K=75|lc=0.0|ls=2.0,NCT05709249
K=75|lc=0.0|ls=2.0,NCT05710198
K=75|lc=0.0|ls=2.0,NCT05711394
K=75|lc=0.0|ls=2.0,NCT05711667
K=75|lc=0.0|ls=2.0,NCT05711940
K=75|lc=0.0|ls=2.0,NCT05712200
K=75|lc=0.0|ls=2.0,NCT05712694
K=75|lc=0.0|ls=2.0,NCT05714202
K=75|lc=0.0|ls=2.0,NCT05715814
K=75|lc=0.0|ls=2.0,NCT05716100
K=75|lc=0.0|ls=2.0,NCT05716880
K=75|lc=0.0|ls=2.0,NCT05717166
K=75|lc=0.0|ls=2.0,NCT05717725
K=75|lc=0.0|ls=2.0,NCT05717803
K=75|lc=0.0|ls=2.0,NCT05718817
K=75|lc=0.0|ls=2.0,NCT05719467
K=75|lc=0.0|ls=2.0,NCT05720026
K=75|lc=0.0|ls=2.0,NCT05720338
K=75|lc=0.0|ls=2.0,NCT05721755
K=75|lc=0.0|ls=2.0,NCT05722015
K=75|lc=0.0|ls=2.0,NCT05722938
K=75|lc=0.0|ls=2.0,NCT05723198
K=75|lc=0.0|ls=2.0,NCT05723536
K=75|lc=0.0|ls=2.0,NCT05723835
K=75|lc=0.0|ls=2.0,NCT05724446
K=75|lc=0.0|ls=2.0,NCT05725018
K=75|lc=0.0|ls=2.0,NCT05726110
K=75|lc=0.0|ls=2.0,NCT05726227
K=75|lc=0.0|ls=2.0,NCT05726630
K=75|lc=0.0|ls=2.0,NCT05726786
K=75|lc=0.0|ls=2.0,NCT05726916
K=75|lc=0.0|ls=2.0,NCT05727397
K=75|lc=0.0|ls=2.0,NCT05727904
K=75|lc=0.0|ls=2.0,NCT05730036
K=75|lc=0.0|ls=2.0,NCT05730699
K=75|lc=0.0|ls=2.0,NCT05732272
K=75|lc=0.0|ls=2.0,NCT05732727
K=75|lc=0.0|ls=2.0,NCT05732805
K=75|lc=0.0|ls=2.0,NCT05734105
K=75|lc=0.0|ls=2.0,NCT05734794
K=75|lc=0.0|ls=2.0,NCT05735145
K=50|lc=1.0|ls=0.0,NCT00002462
K=50|lc=1.0|ls=0.0,NCT06200155
K=50|lc=1.0|ls=0.0,NCT06224192
K=50|lc=1.0|ls=0.0,NCT06224244
K=50|lc=1.0|ls=0.0,NCT06224257
K=50|lc=1.0|ls=0.0,NCT06224348
K=50|lc=1.0|ls=0.0,NCT06224907
K=50|lc=1.0|ls=0.0,NCT06225232
K=50|lc=1.0|ls=0.0,NCT06225258
K=50|lc=1.0|ls=0.0,NCT06225284
K=50|lc=1.0|ls=0.0,NCT06225544
K=50|lc=1.0|ls=0.0,NCT06225752
K=50|lc=1.0|ls=0.0,NCT06225843
K=50|lc=1.0|ls=0.0,NCT06225973
K=50|lc=1.0|ls=0.0,NCT06225999
K=50|lc=1.0|ls=0.0,NCT06226025
K=50|lc=1.0|ls=0.0,NCT06226610
K=50|lc=1.0|ls=0.0,NCT06226714
K=50|lc=1.0|ls=0.0,NCT06228963
K=50|lc=1.0|ls=0.0,NCT06229041
K=50|lc=1.0|ls=0.0,NCT06229210
K=50|lc=1.0|ls=0.0,NCT06229288
K=50|lc=1.0|ls=0.0,NCT06229340
K=50|lc=1.0|ls=0.0,NCT06229483
K=50|lc=1.0|ls=0.0,NCT06229795
K=50|lc=1.0|ls=0.0,NCT06229912
K=50|lc=1.0|ls=0.0,NCT06230224
K=50|lc=1.0|ls=0.0,NCT06230354
K=50|lc=1.0|ls=0.0,NCT06230445
K=50|lc=1.0|ls=0.0,NCT06230471
K=50|lc=1.0|ls=0.0,NCT06230757
K=50|lc=1.0|ls=0.0,NCT06231017
K=50|lc=1.0|ls=0.0,NCT06231381
K=50|lc=1.0|ls=0.0,NCT06231563
K=50|lc=1.0|ls=0.0,NCT06231641
K=50|lc=1.0|ls=0.0,NCT06231680
K=50|lc=1.0|ls=0.0,NCT06231745
K=50|lc=1.0|ls=0.0,NCT06231758
K=50|lc=1.0|ls=0.0,NCT06232564
K=50|lc=1.0|ls=0.0,NCT06232577
K=50|lc=1.0|ls=0.0,NCT06232655
K=50|lc=1.0|ls=0.0,NCT06233344
K=50|lc=1.0|ls=0.0,NCT06233461
K=50|lc=1.0|ls=0.0,NCT06233591
K=50|lc=1.0|ls=0.0,NCT06233786
K=50|lc=1.0|ls=0.0,NCT06233799
K=50|lc=1.0|ls=0.0,NCT06233981
K=50|lc=1.0|ls=0.0,NCT06234007
K=50|lc=1.0|ls=0.0,NCT06234631
K=50|lc=1.0|ls=0.0,NCT06234748
K=50|lc=1.0|ls=0.25,NCT00002462
K=50|lc=1.0|ls=0.25,NCT06200155
K=50|lc=1.0|ls=0.25,NCT06224192
K=50|lc=1.0|ls=0.25,NCT06224244
K=50|lc=1.0|ls=0.25,NCT06224257
K=50|lc=1.0|ls=0.25,NCT06224348
K=50|lc=1.0|ls=0.25,NCT06224907
K=50|lc=1.0|ls=0.25,NCT06225232
K=50|lc=1.0|ls=0.25,NCT06225258
K=50|lc=1.0|ls=0.25,NCT06225284
K=50|lc=1.0|ls=0.25,NCT06225544
K=50|lc=1.0|ls=0.25,NCT06225752
K=50|lc=1.0|ls=0.25,NCT06225843
K=50|lc=1.0|ls=0.25,NCT06225973
K=50|lc=1.0|ls=0.25,NCT06225999
K=50|lc=1.0|ls=0.25,NCT06226025
K=50|lc=1.0|ls=0.25,NCT06226610
K=50|lc=1.0|ls=0.25,NCT06226714
K=50|lc=1.0|ls=0.25,NCT06228963
K=50|lc=1.0|ls=0.25,NCT06229041
K=50|lc=1.0|ls=0.25,NCT06229210
K=50|lc=1.0|ls=0.25,NCT06229288
K=50|lc=1.0|ls=0.25,NCT06229340
K=50|lc=1.0|ls=0.25,NCT06229483
K=50|lc=1.0|ls=0.25,NCT06229795
K=50|lc=1.0|ls=0.25,NCT06229912
K=50|lc=1.0|ls=0.25,NCT06230224
