config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,jaccard_vs_baseline,selected_n,total_benefit,total_cost,total_safety,objective,objective_norm
K25_lc0.5_ls2_sig0_seed3,25,0.5,2.0,0.0,3,0.5,25,14.999999999999998,50.0,0.0,-10.000000000000002,0.9657227325352588
K25_lc0.5_ls2_sig0_seed4,25,0.5,2.0,0.0,4,0.5,25,14.999999999999998,50.0,0.0,-10.000000000000002,0.9657227325352588
K25_lc0.5_ls2_sig0.05_seed0,25,0.5,2.0,0.05,0,0.0,25,16.492531066785965,44.41538203657595,0.0,-5.7151599515020095,0.982612395556124
K25_lc0.5_ls2_sig0.05_seed1,25,0.5,2.0,0.05,1,0.0,25,16.29762672666003,43.74148343613567,0.0,-5.573114991407802,0.9831722977887977
K25_lc0.5_ls2_sig0.05_seed2,25,0.5,2.0,0.05,2,0.0,25,16.56115224629945,44.42139106062431,0.0,-5.6495432840127044,0.9828710384435837
K25_lc0.5_ls2_sig0.05_seed3,25,0.5,2.0,0.05,3,0.0,25,16.350554426545287,44.11523628323948,0.0,-5.7070637150744545,0.98264430869721
K25_lc0.5_ls2_sig0.05_seed4,25,0.5,2.0,0.05,4,0.013513513513513514,25,16.646903860638343,44.524590577637646,0.0,-5.61539142818048,0.9830056556825039
K25_lc0.5_ls2_sig0.1_seed0,25,0.5,2.0,0.1,0,0.0,25,18.545572529197127,40.181212432508104,0.0,-1.5450336870569252,0.9990498883361932
K25_lc0.5_ls2_sig0.1_seed1,25,0.5,2.0,0.1,1,0.0,25,18.33634492280825,39.42677063945658,0.0,-1.3770403969200373,0.9997120717614935
K25_lc0.5_ls2_sig0.1_seed2,25,0.5,2.0,0.1,2,0.0,25,18.76285859289672,40.32191171919764,0.0,-1.3980972667020986,0.9996290713622096
K25_lc0.5_ls2_sig0.1_seed3,25,0.5,2.0,0.1,3,0.0,25,18.18760209752915,39.54364581181732,0.0,-1.5842208083795093,0.9988954234631979
K25_lc0.5_ls2_sig0.1_seed4,25,0.5,2.0,0.1,4,0.013513513513513514,25,18.8047484729343,40.21748525154929,0.0,-1.303994152840346,1.0
K25_lc1_ls0.5_sig0_seed0,25,1.0,0.5,0.0,0,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls0.5_sig0_seed1,25,1.0,0.5,0.0,1,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls0.5_sig0_seed2,25,1.0,0.5,0.0,2,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls0.5_sig0_seed3,25,1.0,0.5,0.0,3,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls0.5_sig0_seed4,25,1.0,0.5,0.0,4,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls0.5_sig0.05_seed0,25,1.0,0.5,0.05,0,0.0,25,15.73662285649439,43.32675748057329,0.0,-27.5901346240789,0.8963872514135096
K25_lc1_ls0.5_sig0.05_seed1,25,1.0,0.5,0.05,1,0.0,25,15.724963766613538,43.00774603369942,0.0,-27.28278226708588,0.8975987500177808
K25_lc1_ls0.5_sig0.05_seed2,25,1.0,0.5,0.05,2,0.0,25,15.606104842614004,42.962000059134866,0.0,-27.355895216520864,0.8973105588450785
K25_lc1_ls0.5_sig0.05_seed3,25,1.0,0.5,0.05,3,0.013513513513513514,25,15.642355410137037,43.05974447535725,0.0,-27.417389065220213,0.8970681669773232
K25_lc1_ls0.5_sig0.05_seed4,25,1.0,0.5,0.05,4,0.013513513513513514,25,15.92074401308191,43.480829738155634,0.0,-27.560085725073726,0.8965056959231298
K25_lc1_ls0.5_sig0.1_seed0,25,1.0,0.5,0.1,0,0.0,25,16.935909222875914,37.93754323232713,0.0,-21.001634009451216,0.9223573118905238
K25_lc1_ls0.5_sig0.1_seed1,25,1.0,0.5,0.1,1,0.0,25,17.09317194359902,37.54527954257058,0.0,-20.452107598971562,0.9245233941220695
K25_lc1_ls0.5_sig0.1_seed2,25,1.0,0.5,0.1,2,0.0,25,16.495963804720454,37.12452313159525,0.0,-20.628559326874793,0.9238278698574521
K25_lc1_ls0.5_sig0.1_seed3,25,1.0,0.5,0.1,3,0.013513513513513514,25,16.420239798666092,37.162655189499944,0.0,-20.74241539083385,0.9233790805137694
K25_lc1_ls0.5_sig0.1_seed4,25,1.0,0.5,0.1,4,0.013513513513513514,25,17.372089308609947,38.20853649102379,0.0,-20.836447182413846,0.9230084330088314
K25_lc1_ls1_sig0_seed0,25,1.0,1.0,0.0,0,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls1_sig0_seed1,25,1.0,1.0,0.0,1,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls1_sig0_seed2,25,1.0,1.0,0.0,2,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls1_sig0_seed3,25,1.0,1.0,0.0,3,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls1_sig0_seed4,25,1.0,1.0,0.0,4,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls1_sig0.05_seed0,25,1.0,1.0,0.05,0,0.0,25,15.73662285649439,43.32675748057329,0.0,-27.5901346240789,0.8963872514135096
K25_lc1_ls1_sig0.05_seed1,25,1.0,1.0,0.05,1,0.0,25,15.724963766613538,43.00774603369942,0.0,-27.28278226708588,0.8975987500177808
K25_lc1_ls1_sig0.05_seed2,25,1.0,1.0,0.05,2,0.0,25,15.606104842614004,42.962000059134866,0.0,-27.355895216520864,0.8973105588450785
K25_lc1_ls1_sig0.05_seed3,25,1.0,1.0,0.05,3,0.013513513513513514,25,15.642355410137037,43.05974447535725,0.0,-27.417389065220213,0.8970681669773232
K25_lc1_ls1_sig0.05_seed4,25,1.0,1.0,0.05,4,0.013513513513513514,25,15.92074401308191,43.480829738155634,0.0,-27.560085725073726,0.8965056959231298
K25_lc1_ls1_sig0.1_seed0,25,1.0,1.0,0.1,0,0.0,25,16.935909222875914,37.93754323232713,0.0,-21.001634009451216,0.9223573118905238
K25_lc1_ls1_sig0.1_seed1,25,1.0,1.0,0.1,1,0.0,25,17.09317194359902,37.54527954257058,0.0,-20.452107598971562,0.9245233941220695
K25_lc1_ls1_sig0.1_seed2,25,1.0,1.0,0.1,2,0.0,25,16.495963804720454,37.12452313159525,0.0,-20.628559326874793,0.9238278698574521
K25_lc1_ls1_sig0.1_seed3,25,1.0,1.0,0.1,3,0.013513513513513514,25,16.420239798666092,37.162655189499944,0.0,-20.74241539083385,0.9233790805137694
K25_lc1_ls1_sig0.1_seed4,25,1.0,1.0,0.1,4,0.013513513513513514,25,17.372089308609947,38.20853649102379,0.0,-20.836447182413846,0.9230084330088314
K25_lc1_ls2_sig0_seed0,25,1.0,2.0,0.0,0,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls2_sig0_seed1,25,1.0,2.0,0.0,1,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls2_sig0_seed2,25,1.0,2.0,0.0,2,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls2_sig0_seed3,25,1.0,2.0,0.0,3,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls2_sig0_seed4,25,1.0,2.0,0.0,4,0.5,25,14.999999999999998,50.0,0.0,-35.0,0.8671795965622732
K25_lc1_ls2_sig0.05_seed0,25,1.0,2.0,0.05,0,0.0,25,15.73662285649439,43.32675748057329,0.0,-27.5901346240789,0.8963872514135096
K25_lc1_ls2_sig0.05_seed1,25,1.0,2.0,0.05,1,0.0,25,15.724963766613538,43.00774603369942,0.0,-27.28278226708588,0.8975987500177808
K25_lc1_ls2_sig0.05_seed2,25,1.0,2.0,0.05,2,0.0,25,15.606104842614004,42.962000059134866,0.0,-27.355895216520864,0.8973105588450785
K25_lc1_ls2_sig0.05_seed3,25,1.0,2.0,0.05,3,0.013513513513513514,25,15.642355410137037,43.05974447535725,0.0,-27.417389065220213,0.8970681669773232
K25_lc1_ls2_sig0.05_seed4,25,1.0,2.0,0.05,4,0.013513513513513514,25,15.92074401308191,43.480829738155634,0.0,-27.560085725073726,0.8965056959231298
K25_lc1_ls2_sig0.1_seed0,25,1.0,2.0,0.1,0,0.0,25,16.935909222875914,37.93754323232713,0.0,-21.001634009451216,0.9223573118905238
K25_lc1_ls2_sig0.1_seed1,25,1.0,2.0,0.1,1,0.0,25,17.09317194359902,37.54527954257058,0.0,-20.452107598971562,0.9245233941220695
K25_lc1_ls2_sig0.1_seed2,25,1.0,2.0,0.1,2,0.0,25,16.495963804720454,37.12452313159525,0.0,-20.628559326874793,0.9238278698574521
K25_lc1_ls2_sig0.1_seed3,25,1.0,2.0,0.1,3,0.013513513513513514,25,16.420239798666092,37.162655189499944,0.0,-20.74241539083385,0.9233790805137694
K25_lc1_ls2_sig0.1_seed4,25,1.0,2.0,0.1,4,0.013513513513513514,25,17.372089308609947,38.20853649102379,0.0,-20.836447182413846,0.9230084330088314
K25_lc2_ls0.5_sig0_seed0,25,2.0,0.5,0.0,0,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls0.5_sig0_seed1,25,2.0,0.5,0.0,1,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls0.5_sig0_seed2,25,2.0,0.5,0.0,2,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls0.5_sig0_seed3,25,2.0,0.5,0.0,3,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls0.5_sig0_seed4,25,2.0,0.5,0.0,4,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls0.5_sig0.05_seed0,25,2.0,0.5,0.05,0,0.0,25,15.347503097155737,43.04131800952695,0.0,-70.73513292189816,0.7263215140608602
K25_lc2_ls0.5_sig0.05_seed1,25,2.0,0.5,0.05,1,0.0,25,15.525530593987053,42.86850510716867,0.0,-70.21147962035029,0.7283856116007456
K25_lc2_ls0.5_sig0.05_seed2,25,2.0,0.5,0.05,2,0.0,25,15.253525060344861,42.68143512020473,0.0,-70.10934518006461,0.7287881975222094
K25_lc2_ls0.5_sig0.05_seed3,25,2.0,0.5,0.05,3,0.013513513513513514,25,15.306136506090347,42.83070904014478,0.0,-70.35528157419921,0.727818783781093
K25_lc2_ls0.5_sig0.05_seed4,25,2.0,0.5,0.05,4,0.013513513513513514,25,15.437151126606635,43.12898439671372,0.0,-70.8208176668208,0.7259837683220713
K25_lc2_ls0.5_sig0.1_seed0,25,2.0,0.5,0.1,0,0.0,25,15.993065057600445,37.18969567384647,0.0,-58.3863262900925,0.7749971193017455
K25_lc2_ls0.5_sig0.1_seed1,25,2.0,0.5,0.1,1,0.0,25,16.0973699584411,36.76883823179756,0.0,-57.44030650515402,0.7787260695537586
K25_lc2_ls0.5_sig0.1_seed2,25,2.0,0.5,0.1,2,0.0,25,15.662474832068138,36.495939828546334,0.0,-57.329404825024525,0.7791632135275438
K25_lc2_ls0.5_sig0.1_seed3,25,2.0,0.5,0.1,3,0.013513513513513514,25,16.02171513373109,36.863086309143725,0.0,-57.70445748455636,0.7776848589185328
K25_lc2_ls0.5_sig0.1_seed4,25,2.0,0.5,0.1,4,0.013513513513513514,25,16.118599707243874,37.300247616688424,0.0,-58.48189552613297,0.7746204116128667
K25_lc2_ls1_sig0_seed0,25,2.0,1.0,0.0,0,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls1_sig0_seed1,25,2.0,1.0,0.0,1,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls1_sig0_seed2,25,2.0,1.0,0.0,2,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls1_sig0_seed3,25,2.0,1.0,0.0,3,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls1_sig0_seed4,25,2.0,1.0,0.0,4,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls1_sig0.05_seed0,25,2.0,1.0,0.05,0,0.0,25,15.347503097155737,43.04131800952695,0.0,-70.73513292189816,0.7263215140608602
K25_lc2_ls1_sig0.05_seed1,25,2.0,1.0,0.05,1,0.0,25,15.525530593987053,42.86850510716867,0.0,-70.21147962035029,0.7283856116007456
K25_lc2_ls1_sig0.05_seed2,25,2.0,1.0,0.05,2,0.0,25,15.253525060344861,42.68143512020473,0.0,-70.10934518006461,0.7287881975222094
K25_lc2_ls1_sig0.05_seed3,25,2.0,1.0,0.05,3,0.013513513513513514,25,15.306136506090347,42.83070904014478,0.0,-70.35528157419921,0.727818783781093
K25_lc2_ls1_sig0.05_seed4,25,2.0,1.0,0.05,4,0.013513513513513514,25,15.437151126606635,43.12898439671372,0.0,-70.8208176668208,0.7259837683220713
K25_lc2_ls1_sig0.1_seed0,25,2.0,1.0,0.1,0,0.0,25,15.993065057600445,37.18969567384647,0.0,-58.3863262900925,0.7749971193017455
K25_lc2_ls1_sig0.1_seed1,25,2.0,1.0,0.1,1,0.0,25,16.0973699584411,36.76883823179756,0.0,-57.44030650515402,0.7787260695537586
K25_lc2_ls1_sig0.1_seed2,25,2.0,1.0,0.1,2,0.0,25,15.662474832068138,36.495939828546334,0.0,-57.329404825024525,0.7791632135275438
K25_lc2_ls1_sig0.1_seed3,25,2.0,1.0,0.1,3,0.013513513513513514,25,16.02171513373109,36.863086309143725,0.0,-57.70445748455636,0.7776848589185328
K25_lc2_ls1_sig0.1_seed4,25,2.0,1.0,0.1,4,0.013513513513513514,25,16.118599707243874,37.300247616688424,0.0,-58.48189552613297,0.7746204116128667
K25_lc2_ls2_sig0_seed0,25,2.0,2.0,0.0,0,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls2_sig0_seed1,25,2.0,2.0,0.0,1,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls2_sig0_seed2,25,2.0,2.0,0.0,2,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls2_sig0_seed3,25,2.0,2.0,0.0,3,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls2_sig0_seed4,25,2.0,2.0,0.0,4,0.5,25,14.999999999999998,50.0,0.0,-85.0,0.670093324616302
K25_lc2_ls2_sig0.05_seed0,25,2.0,2.0,0.05,0,0.0,25,15.347503097155737,43.04131800952695,0.0,-70.73513292189816,0.7263215140608602
K25_lc2_ls2_sig0.05_seed1,25,2.0,2.0,0.05,1,0.0,25,15.525530593987053,42.86850510716867,0.0,-70.21147962035029,0.7283856116007456
K25_lc2_ls2_sig0.05_seed2,25,2.0,2.0,0.05,2,0.0,25,15.253525060344861,42.68143512020473,0.0,-70.10934518006461,0.7287881975222094
K25_lc2_ls2_sig0.05_seed3,25,2.0,2.0,0.05,3,0.013513513513513514,25,15.306136506090347,42.83070904014478,0.0,-70.35528157419921,0.727818783781093
K25_lc2_ls2_sig0.05_seed4,25,2.0,2.0,0.05,4,0.013513513513513514,25,15.437151126606635,43.12898439671372,0.0,-70.8208176668208,0.7259837683220713
K25_lc2_ls2_sig0.1_seed0,25,2.0,2.0,0.1,0,0.0,25,15.993065057600445,37.18969567384647,0.0,-58.3863262900925,0.7749971193017455
K25_lc2_ls2_sig0.1_seed1,25,2.0,2.0,0.1,1,0.0,25,16.0973699584411,36.76883823179756,0.0,-57.44030650515402,0.7787260695537586
K25_lc2_ls2_sig0.1_seed2,25,2.0,2.0,0.1,2,0.0,25,15.662474832068138,36.495939828546334,0.0,-57.329404825024525,0.7791632135275438
K25_lc2_ls2_sig0.1_seed3,25,2.0,2.0,0.1,3,0.013513513513513514,25,16.02171513373109,36.863086309143725,0.0,-57.70445748455636,0.7776848589185328
K25_lc2_ls2_sig0.1_seed4,25,2.0,2.0,0.1,4,0.013513513513513514,25,16.118599707243874,37.300247616688424,0.0,-58.48189552613297,0.7746204116128667
K50_lc0.5_ls0.5_sig0_seed0,50,0.5,0.5,0.0,0,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls0.5_sig0_seed1,50,0.5,0.5,0.0,1,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls0.5_sig0_seed2,50,0.5,0.5,0.0,2,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls0.5_sig0_seed3,50,0.5,0.5,0.0,3,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls0.5_sig0_seed4,50,0.5,0.5,0.0,4,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls0.5_sig0.05_seed0,50,0.5,0.5,0.05,0,0.0,50,32.729309845229615,89.38404032467334,0.0,-11.962710317107053,0.9579862673490883
K50_lc0.5_ls0.5_sig0.05_seed1,50,0.5,0.5,0.05,1,0.0,50,32.48641817473249,88.51115764136664,0.0,-11.769160645950826,0.9587491870115793
K50_lc0.5_ls0.5_sig0.05_seed2,50,0.5,0.5,0.05,2,0.0,50,32.662035400184735,88.91379575216887,0.0,-11.794862475899698,0.958647877454643
K50_lc0.5_ls0.5_sig0.05_seed3,50,0.5,0.5,0.05,3,0.010101010101010102,50,32.28526507502203,88.39827706094918,0.0,-11.91387345545256,0.9581787688490288
K50_lc0.5_ls0.5_sig0.05_seed4,50,0.5,0.5,0.05,4,0.010101010101010102,50,32.595855692085195,88.89474566833618,0.0,-11.851517142082898,0.9584245603157151
K50_lc0.5_ls0.5_sig0.1_seed0,50,0.5,0.5,0.1,0,0.0,50,36.2871157573538,80.91317752361317,0.0,-4.169473004452783,0.9887050691159136
K50_lc0.5_ls0.5_sig0.1_seed1,50,0.5,0.5,0.1,1,0.0,50,36.072042982284216,79.95721665864234,0.0,-3.9065653470369526,0.9897413789172363
K50_lc0.5_ls0.5_sig0.1_seed2,50,0.5,0.5,0.1,2,0.0,50,36.67356591662455,81.01347148344941,0.0,-3.833169825100157,0.9900306839131574
K50_lc0.5_ls0.5_sig0.1_seed3,50,0.5,0.5,0.1,3,0.0,50,35.592060890278646,79.6127281856432,0.0,-4.214303202542958,0.9885283607836698
K50_lc0.5_ls0.5_sig0.1_seed4,50,0.5,0.5,0.1,4,0.010101010101010102,50,36.47021834732123,80.87789254348885,0.0,-3.9687279244231988,0.9894963511046041
K50_lc0.5_ls1_sig0_seed0,50,0.5,1.0,0.0,0,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls1_sig0_seed1,50,0.5,1.0,0.0,1,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls1_sig0_seed2,50,0.5,1.0,0.0,2,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls1_sig0_seed3,50,0.5,1.0,0.0,3,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls1_sig0_seed4,50,0.5,1.0,0.0,4,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls1_sig0.05_seed0,50,0.5,1.0,0.05,0,0.0,50,32.729309845229615,89.38404032467334,0.0,-11.962710317107053,0.9579862673490883
K50_lc0.5_ls1_sig0.05_seed1,50,0.5,1.0,0.05,1,0.0,50,32.48641817473249,88.51115764136664,0.0,-11.769160645950826,0.9587491870115793
K50_lc0.5_ls1_sig0.05_seed2,50,0.5,1.0,0.05,2,0.0,50,32.662035400184735,88.91379575216887,0.0,-11.794862475899698,0.958647877454643
K50_lc0.5_ls1_sig0.05_seed3,50,0.5,1.0,0.05,3,0.010101010101010102,50,32.28526507502203,88.39827706094918,0.0,-11.91387345545256,0.9581787688490288
K50_lc0.5_ls1_sig0.05_seed4,50,0.5,1.0,0.05,4,0.010101010101010102,50,32.595855692085195,88.89474566833618,0.0,-11.851517142082898,0.9584245603157151
K50_lc0.5_ls1_sig0.1_seed0,50,0.5,1.0,0.1,0,0.0,50,36.2871157573538,80.91317752361317,0.0,-4.169473004452783,0.9887050691159136
K50_lc0.5_ls1_sig0.1_seed1,50,0.5,1.0,0.1,1,0.0,50,36.072042982284216,79.95721665864234,0.0,-3.9065653470369526,0.9897413789172363
K50_lc0.5_ls1_sig0.1_seed2,50,0.5,1.0,0.1,2,0.0,50,36.67356591662455,81.01347148344941,0.0,-3.833169825100157,0.9900306839131574
K50_lc0.5_ls1_sig0.1_seed3,50,0.5,1.0,0.1,3,0.0,50,35.592060890278646,79.6127281856432,0.0,-4.214303202542958,0.9885283607836698
K50_lc0.5_ls1_sig0.1_seed4,50,0.5,1.0,0.1,4,0.010101010101010102,50,36.47021834732123,80.87789254348885,0.0,-3.9687279244231988,0.9894963511046041
K50_lc0.5_ls2_sig0_seed0,50,0.5,2.0,0.0,0,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls2_sig0_seed1,50,0.5,2.0,0.0,1,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls2_sig0_seed2,50,0.5,2.0,0.0,2,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls2_sig0_seed3,50,0.5,2.0,0.0,3,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls2_sig0_seed4,50,0.5,2.0,0.0,4,1.0,50,30.000000000000004,100.0,0.0,-19.999999999999996,0.9263054781460645
K50_lc0.5_ls2_sig0.05_seed0,50,0.5,2.0,0.05,0,0.0,50,32.729309845229615,89.38404032467334,0.0,-11.962710317107053,0.9579862673490883
