method,scenario,energy,selected_n,source_files,shots,n_full,n_pool,pool_strategy,results_json_key
classical,C,,10,"09b_scenario_C_classical_summary.csv, 09b_scenario_C_classical_selected_trials.csv, 09b_scenario_C_classical_best_bitstring.txt",,,,,
sv1_qaoa,C,-2600.0,4,"_09c_sv1_best_scenario_C.json, 09c_sv1_summary_scenario_C.csv, 09c_sv1_selected_trials_scenario_C.csv",100.0,60.0,34.0,best_diag,clinical-trials-data/results/sv1_tasks/scenario_C/6c4d0b7d-e177-4382-8196-6664f3eb3f14/results.json
