K,lambda_cost,lambda_safety,n_selected,benefit_sum_raw,cost_sum_raw,safety_sum_raw,benefit_sum_norm,cost_sum_norm,safety_sum_norm,objective_norm,config_key,jaccard_vs_baseline
50,0.5,2.0,50,39.99999999999999,200.0,0.0,50.0,50.0,0.0,25.0,K=50|lc=0.5|ls=2.0,0.010101010101010102
50,1.0,0.0,50,33.4,134.0,0.0,17.0,17.0,0.0,0.0,K=50|lc=1.0|ls=0.0,1.0
50,1.0,0.25,50,33.4,134.0,0.0,17.0,17.0,0.0,0.0,K=50|lc=1.0|ls=0.25,1.0
50,1.0,0.5,50,33.4,134.0,0.0,17.0,17.0,0.0,0.0,K=50|lc=1.0|ls=0.5,1.0
50,1.0,1.0,50,33.4,134.0,0.0,17.0,17.0,0.0,0.0,K=50|lc=1.0|ls=1.0,1.0
50,1.0,2.0,50,33.4,134.0,0.0,17.0,17.0,0.0,0.0,K=50|lc=1.0|ls=2.0,1.0
50,2.0,0.0,50,30.000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,K=50|lc=2.0|ls=0.0,0.0
50,2.0,0.25,50,30.000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,K=50|lc=2.0|ls=0.25,0.0
50,2.0,0.5,50,30.000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,K=50|lc=2.0|ls=0.5,0.0
50,2.0,1.0,50,30.000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,K=50|lc=2.0|ls=1.0,0.0
50,2.0,2.0,50,30.000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,K=50|lc=2.0|ls=2.0,0.0
75,0.0,0.0,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,75.0,K=75|lc=0.0|ls=0.0,0.008064516129032258
75,0.0,0.25,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,75.0,K=75|lc=0.0|ls=0.25,0.008064516129032258
75,0.0,0.5,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,75.0,K=75|lc=0.0|ls=0.5,0.008064516129032258
75,0.0,1.0,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,75.0,K=75|lc=0.0|ls=1.0,0.008064516129032258
75,0.0,2.0,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,75.0,K=75|lc=0.0|ls=2.0,0.008064516129032258
75,0.25,0.0,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,56.25,K=75|lc=0.25|ls=0.0,0.008064516129032258
75,0.25,0.25,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,56.25,K=75|lc=0.25|ls=0.25,0.008064516129032258
75,0.25,0.5,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,56.25,K=75|lc=0.25|ls=0.5,0.008064516129032258
75,0.25,1.0,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,56.25,K=75|lc=0.25|ls=1.0,0.008064516129032258
75,0.25,2.0,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,56.25,K=75|lc=0.25|ls=2.0,0.008064516129032258
75,0.5,0.0,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,37.5,K=75|lc=0.5|ls=0.0,0.008064516129032258
75,0.5,0.25,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,37.5,K=75|lc=0.5|ls=0.25,0.008064516129032258
75,0.5,0.5,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,37.5,K=75|lc=0.5|ls=0.5,0.008064516129032258
75,0.5,1.0,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,37.5,K=75|lc=0.5|ls=1.0,0.008064516129032258
75,0.5,2.0,75,59.999999999999986,300.0,0.0,75.0,75.0,0.0,37.5,K=75|lc=0.5|ls=2.0,0.008064516129032258
75,1.0,0.0,75,50.39999999999999,204.0,0.0,27.0,27.0,0.0,0.0,K=75|lc=1.0|ls=0.0,0.6666666666666666
75,1.0,0.25,75,50.39999999999999,204.0,0.0,27.0,27.0,0.0,0.0,K=75|lc=1.0|ls=0.25,0.6666666666666666
75,1.0,0.5,75,50.39999999999999,204.0,0.0,27.0,27.0,0.0,0.0,K=75|lc=1.0|ls=0.5,0.6666666666666666
75,1.0,1.0,75,50.39999999999999,204.0,0.0,27.0,27.0,0.0,0.0,K=75|lc=1.0|ls=1.0,0.6666666666666666
75,1.0,2.0,75,50.39999999999999,204.0,0.0,27.0,27.0,0.0,0.0,K=75|lc=1.0|ls=2.0,0.6666666666666666
75,2.0,0.0,75,45.0,150.0,0.0,0.0,0.0,0.0,0.0,K=75|lc=2.0|ls=0.0,0.0
75,2.0,0.25,75,45.0,150.0,0.0,0.0,0.0,0.0,0.0,K=75|lc=2.0|ls=0.25,0.0
75,2.0,0.5,75,45.0,150.0,0.0,0.0,0.0,0.0,0.0,K=75|lc=2.0|ls=0.5,0.0
75,2.0,1.0,75,45.0,150.0,0.0,0.0,0.0,0.0,0.0,K=75|lc=2.0|ls=1.0,0.0
75,2.0,2.0,75,45.0,150.0,0.0,0.0,0.0,0.0,0.0,K=75|lc=2.0|ls=2.0,0.0
