config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,penalty_A,shots,gamma_0,beta_0,best_mean_energy,best_bitstring,jaccard_vs_baseline,selected_n,total_benefit,total_cost,total_safety,objective
K6_lc0.5_ls1.0_sig0.0_seed1_pool6_shots1024_A10.0,6,0.5,1.0,0.0,1,6,10.0,1024,1.2666666666666666,1.0,-329.533203125,111111,1.0,6,0.0,0.0,6.0,6.0
K6_lc0.5_ls1.0_sig0.0_seed2_pool6_shots1024_A10.0,6,0.5,1.0,0.0,2,6,10.0,1024,1.2666666666666666,1.0,-328.7666015625,111111,1.0,6,0.0,0.0,6.0,6.0
K6_lc0.5_ls1.0_sig0.05_seed0_pool6_shots1024_A10.0,6,0.5,1.0,0.05,0,6,10.0,1024,1.5333333333333332,1.8,-293.5233383096758,111110,0.8333333333333334,5,2.6507198324938033,1.8538004862060138,0.9322639464593878,-0.7915556429314086
K6_lc0.5_ls1.0_sig0.05_seed1_pool6_shots1024_A10.0,6,0.5,1.0,0.05,1,6,10.0,1024,1.5333333333333332,1.8,-289.5797485559231,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,1.2409263301948146
K6_lc0.5_ls1.0_sig0.05_seed2_pool6_shots1024_A10.0,6,0.5,1.0,0.05,2,6,10.0,1024,1.5333333333333332,1.8,-287.6457946929894,111111,1.0,6,3.3963352989970734,2.7281619015516037,3.0647010668254318,1.0324467186041604
K6_lc0.5_ls1.0_sig0.1_seed0_pool6_shots1024_A10.0,6,0.5,1.0,0.1,0,6,10.0,1024,1.5333333333333332,1.8,-293.6002371634064,111110,0.8333333333333334,5,2.6507198325163412,1.869474211642717,0.9322639464400734,-0.7837187802549094
K6_lc0.5_ls1.0_sig0.1_seed1_pool6_shots1024_A10.0,6,0.5,1.0,0.1,1,6,10.0,1024,1.5333333333333332,1.8,-289.578167661395,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,1.2438243925042776
K6_lc0.5_ls1.0_sig0.1_seed2_pool6_shots1024_A10.0,6,0.5,1.0,0.1,2,6,10.0,1024,1.5333333333333332,1.8,-287.4403994632552,111111,1.0,6,3.3963352990050826,2.736065473199977,3.0647010668034835,1.0363985043983894
K6_lc0.5_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334,-344.625,111111,1.0,6,0.0,0.0,6.0,12.0
K6_lc0.5_ls2.0_sig0.0_seed1_pool6_shots1024_A10.0,6,0.5,2.0,0.0,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-345.09765625,111111,1.0,6,0.0,0.0,6.0,12.0
K6_lc0.5_ls2.0_sig0.0_seed2_pool6_shots1024_A10.0,6,0.5,2.0,0.0,2,6,10.0,1024,1.2666666666666666,0.7333333333333334,-344.59375,111111,1.0,6,0.0,0.0,6.0,12.0
K6_lc0.5_ls2.0_sig0.05_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.05,0,6,10.0,1024,1.5333333333333332,1.8,-284.1323748215259,111111,1.0,6,3.213090447181125,2.8538004861826582,1.9322639464593876,2.0783376888289795
K6_lc0.5_ls2.0_sig0.05_seed1_pool6_shots1024_A10.0,6,0.5,2.0,0.05,1,6,10.0,1024,1.2666666666666666,1.0,-303.9806404604934,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,4.707149662611216
K6_lc0.5_ls2.0_sig0.05_seed2_pool6_shots1024_A10.0,6,0.5,2.0,0.05,2,6,10.0,1024,1.2666666666666666,1.0,-280.9715454504673,111101,0.8333333333333334,5,2.9439325928362834,1.8597601581521488,2.0647010668254318,2.1153496198906545
K6_lc0.5_ls2.0_sig0.1_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.1,0,6,10.0,1024,1.5333333333333332,1.8,-284.0768964465019,111111,1.0,6,3.213090447208443,2.8694742116310405,1.9322639464400733,2.0861745514872236
K6_lc0.5_ls2.0_sig0.1_seed1_pool6_shots1024_A10.0,6,0.5,2.0,0.1,1,6,10.0,1024,1.2666666666666666,1.0,-304.04815629432215,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,4.710047724901708
K6_lc0.5_ls2.0_sig0.1_seed2_pool6_shots1024_A10.0,6,0.5,2.0,0.1,2,6,10.0,1024,1.2666666666666666,1.0,-281.1214266709295,111101,0.8333333333333334,5,2.943932592843226,1.8662335416495721,2.0647010668034835,2.118586311588527
K6_lc1.0_ls0.5_sig0.0_seed0_pool6_shots1024_A10.0,6,1.0,0.5,0.0,0,6,10.0,1024,1.5333333333333332,1.8,-272.11572265625,111111,1.0,6,0.0,0.0,6.0,3.0
K6_lc1.0_ls0.5_sig0.0_seed1_pool6_shots1024_A10.0,6,1.0,0.5,0.0,1,6,10.0,1024,1.5333333333333332,1.8,-272.3359375,111111,1.0,6,0.0,0.0,6.0,3.0
K6_lc1.0_ls0.5_sig0.0_seed2_pool6_shots1024_A10.0,6,1.0,0.5,0.0,2,6,10.0,1024,1.5333333333333332,1.8,-270.89208984375,111111,1.0,6,0.0,0.0,6.0,3.0
K6_lc1.0_ls0.5_sig0.05_seed0_pool6_shots1024_A10.0,6,1.0,0.5,0.05,0,6,10.0,1024,1.5333333333333332,1.8,-288.9959993924408,111111,1.0,6,3.213090447181125,2.8538004861826582,1.9322639464593876,0.6068420122312272
K6_lc1.0_ls0.5_sig0.05_seed1_pool6_shots1024_A10.0,6,1.0,0.5,0.05,1,6,10.0,1024,1.5333333333333332,1.8,-283.4957919692312,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,1.5229978364254224
K6_lc1.0_ls0.5_sig0.05_seed2_pool6_shots1024_A10.0,6,1.0,0.5,0.05,2,6,10.0,1024,1.5333333333333332,1.8,-291.3831173640768,111101,0.8333333333333334,5,2.9439325928362834,1.8597601581521488,2.0647010668254318,-0.051821901271418724
K6_lc1.0_ls0.5_sig0.1_seed0_pool6_shots1024_A10.0,6,1.0,0.5,0.1,0,6,10.0,1024,1.5333333333333332,1.8,-288.95606561205403,111111,1.0,6,3.213090447208443,2.8694742116310405,1.9322639464400733,0.6225157376426342
K6_lc1.0_ls0.5_sig0.1_seed1_pool6_shots1024_A10.0,6,1.0,0.5,0.1,1,6,10.0,1024,1.5333333333333332,1.8,-283.6882188871358,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,1.5287939610920058
K6_lc1.0_ls0.5_sig0.1_seed2_pool6_shots1024_A10.0,6,1.0,0.5,0.1,2,6,10.0,1024,1.5333333333333332,1.8,-291.2356398227356,111101,0.8333333333333334,5,2.943932592843226,1.8662335416495721,2.0647010668034835,-0.04534851779191196
K6_lc1.0_ls1.0_sig0.0_seed0_pool6_shots1024_A10.0,6,1.0,1.0,0.0,0,6,10.0,1024,1.2666666666666666,1.0,-329.310546875,111111,1.0,6,0.0,0.0,6.0,6.0
K6_lc1.0_ls1.0_sig0.0_seed1_pool6_shots1024_A10.0,6,1.0,1.0,0.0,1,6,10.0,1024,1.2666666666666666,1.0,-329.533203125,111111,1.0,6,0.0,0.0,6.0,6.0
