K,lambda_cost,lambda_safety,noise_sigma,objective_mean,objective_std,objective_norm_mean,jaccard_mean,jaccard_std,n_runs
25,0.5,0.5,0.1,-1.4416772623797833,0.1183585570210227,0.9994572909846188,0.002702702702702703,0.0060434269662156485,5
25,0.5,1.0,0.1,-1.4416772623797833,0.1183585570210227,0.9994572909846188,0.002702702702702703,0.0060434269662156485,5
25,0.5,2.0,0.1,-1.4416772623797833,0.1183585570210227,0.9994572909846188,0.002702702702702703,0.0060434269662156485,5
50,0.5,0.5,0.1,-4.01844786071121,0.16619689255265763,0.9893003687669163,0.00202020202020202,0.004517309045454121,5
50,0.5,1.0,0.1,-4.01844786071121,0.16619689255265763,0.9893003687669163,0.00202020202020202,0.004517309045454121,5
50,0.5,2.0,0.1,-4.01844786071121,0.16619689255265763,0.9893003687669163,0.00202020202020202,0.004517309045454121,5
25,0.5,0.5,0.05,-5.65205467403549,0.06039504286360011,0.9828611392336437,0.002702702702702703,0.0060434269662156485,5
25,0.5,1.0,0.05,-5.65205467403549,0.06039504286360011,0.9828611392336437,0.002702702702702703,0.0060434269662156485,5
25,0.5,2.0,0.05,-5.65205467403549,0.06039504286360011,0.9828611392336437,0.002702702702702703,0.0060434269662156485,5
75,0.5,0.5,0.1,-7.069096730354739,0.31014632748533794,0.9772755485122315,0.0032258064516129032,0.004417117399235211,5
