nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,_cost_raw,enrollment_feasibility_score,_benefit_raw,_safety_raw,_benefit,_cost,_safety,_score,config_id,K,lambda_cost,lambda_safety,noise_sigma,seed
NCT06410599,Pharmacologic Treatment Augmentation in Chronic Depression,Recruiting,Phase 2,['Major Depressive Disorder'],['Ketamine' 'Placebo' 'CBASP' 'TAU'],['Germany'],University Hospital Tuebingen,University Hospital Tuebingen,Global / Multi-Region,2.0,1.0,0.6,0.0,0.6776282724440568,1.6035898505624753,0.0,-0.12416665283718087,K75_lc0.5_ls0.5_sig0.1_seed0,75,0.5,0.5,0.1,0
NCT02452008,Study of TGF-β Receptor Inhibitor Galunisertib (LY2157299) and Enzalutamide in Metastatic Castration-resistant Prostate Cancer,"Active, not recruiting",Phase 2,['Prostate Cancer'],['Enzalutamide' 'LY2157299'],['United States'],Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Global / Multi-Region,2.0,1.0,0.6,0.0,0.7621154921925689,1.7755387287043194,0.0,-0.12565387215959078,K75_lc0.5_ls0.5_sig0.1_seed0,75,0.5,0.5,0.1,0
NCT02993198,A Prospective Study of Breast Cancer Patients With Abnormal Strain Imaging,"Active, not recruiting",Phase 2,['HER2 Positive Breast Cancer' 'Cardiovascular Abnormalities'],['Carvedilol'],['United States'],Northwestern University,Northwestern University,Global / Multi-Region,2.0,1.0,0.6,0.0,0.7978137317061225,1.8484705454187962,0.0,-0.12642154100327563,K75_lc0.5_ls0.5_sig0.1_seed0,75,0.5,0.5,0.1,0
NCT06992440,Empagliflozin to Improve Right Ventricular Function in Pulmonary Arterial Hypertension,Enrolling by invitation,Phase 2,['Pulmonary Arterial Hypertension'],['Empagliflozin 10 MG' 'Placebo'],['United States'],"Gustavo A Heresi, MD, MS","Gustavo A Heresi, MD, MS",Global / Multi-Region,2.0,1.0,0.6,0.0,0.7965849899720888,1.8460454176706758,0.0,-0.12643771886324906,K75_lc0.5_ls0.5_sig0.1_seed0,75,0.5,0.5,0.1,0
NCT06127303,Toripalimab Combined With Cryoablation for First-line Oligo-progression in Driver-negative Advanced NSCLC,Recruiting,Phase 2,['Non-small Cell Lung Cancer'],['Toripalimab' 'Cryoablation'],['China'],Shanghai Chest Hospital,Shanghai Chest Hospital,Global / Multi-Region,2.0,1.0,0.6,0.0,0.6900751143204169,1.6333481214818846,0.0,-0.12659894642052538,K75_lc0.5_ls0.5_sig0.1_seed0,75,0.5,0.5,0.1,0
NCT06109064,Safety and Efficacy of Unrelated Umbilical Cord Blood Microtransplantation in Patients With Higher-risk MDS,Recruiting,Phase 2,['Myelodysplastic Syndromes'],['Unrelated Umbilical Cord Blood' 'Venetoclax' 'Decetabine' 'Azacitidine'],['China'],Anhui Provincial Hospital,Anhui Provincial Hospital,Global / Multi-Region,2.0,1.0,0.6,0.0,0.7053887508671709,1.6653374605544478,0.0,-0.12727997941005298,K75_lc0.5_ls0.5_sig0.1_seed0,75,0.5,0.5,0.1,0
NCT06972446,A Study to Evaluate Different Targeted Therapies for Patients With Rheumatoid Arthritis,Recruiting,Phase 2,['Rheumatoid Arthritis'],['Lutikizumab' 'Placebo' 'Ravagalimab'],['Canada' 'Germany' 'Puerto Rico' 'United States'],AbbVie,AbbVie,Global / Multi-Region,2.0,1.0,0.6,0.0,0.6946321116726472,1.6474818209985909,0.0,-0.12910879882664827,K75_lc0.5_ls0.5_sig0.1_seed0,75,0.5,0.5,0.1,0
NCT06257875,A Study to Assess Adverse Events and Change in Disease Activity From Intravenous (IV) and Subcutaneous (SC) Lutikizumab in Adult Participants With Active Ulcerative Colitis,"Active, not recruiting",Phase 2,['Ulcerative Colitis'],['Lutikizumab' 'Lutikizumab' 'Adalimumab'],"['Australia' 'Austria' 'Belgium' 'Bulgaria' 'Canada' 'Croatia' 'Estonia'
 'France' 'Germany' 'Greece' 'Hungary' 'Ireland' 'Israel' 'Italy' 'Japan'
 'Latvia' 'Lithuania' 'New Zealand' 'Norway' 'Poland' 'Puerto Rico'
 'Serbia' 'Slovenia' 'South Africa' 'South Korea' 'Spain' 'Switzerland'
 'Taiwan' 'United Kingdom' 'United States']",AbbVie,AbbVie,Global / Multi-Region,2.0,1.0,0.6,0.0,0.7734798294072464,1.805778381925012,0.0,-0.12940936155525962,K75_lc0.5_ls0.5_sig0.1_seed0,75,0.5,0.5,0.1,0
NCT06490601,Long Term Beta Thalassemia Treatment: Findings From The Extension Period,"Active, not recruiting",Phase 2,['Fetal Hemoglobin' 'Beta-Thalassemia' 'Hemoglobinopathies'],['thalidomide and hydroxyurea' 'Thalidomide'],['Pakistan'],"National Institute of Blood and Marrow Transplant (NIBMT), Pakistan","National Institute of Blood and Marrow Transplant (NIBMT), Pakistan",Global / Multi-Region,2.0,1.0,0.6,0.0,0.75306612477522,1.7652885495562236,0.0,-0.12957815000289186,K75_lc0.5_ls0.5_sig0.1_seed0,75,0.5,0.5,0.1,0
NCT05150652,"Neoadjuvant Endocrine Therapy in ER-positive, HER2-negative Early Stage Breast Cancer",Recruiting,Phase 2,"['Breast Cancer' 'HER2-negative Breast Cancer'
 'Node-negative Breast Cancer' 'Breast Carcinoma']",['Anastrozole 1mg' 'Letrozole 2.5mg' 'Exemestane 25 mg' 'Tamoxifen'],['United States'],Irada Ibrahim-zada,Irada Ibrahim-zada,Global / Multi-Region,2.0,1.0,0.6,0.0,0.8211876568767912,1.9028308982047542,0.0,-0.1302277922255859,K75_lc0.5_ls0.5_sig0.1_seed0,75,0.5,0.5,0.1,0
NCT05207670,"A Study Evaluating the Safety, Efficacy, and Pharmacokinetics of Mosunetuzumab Monotherapy in Participants With Select B-Cell Malignancies","Active, not recruiting",Phase 2,['Non-Hodgkin Lymphoma'],['Mosunetuzumab (Cohorts A-C)' 'Mosunetuzumab (Cohorts D-E)' 'Tocilizumab'],['United States'],"Genentech, Inc.","Genentech, Inc.",Global / Multi-Region,2.0,1.0,0.6,0.0,0.6625497048196801,1.586612493576038,0.0,-0.13075654196833886,K75_lc0.5_ls0.5_sig0.1_seed0,75,0.5,0.5,0.1,0
