gamma,beta,expected_cost
0.0,0.0,10.371902000000002
0.0,0.08267349088394192,11.174747999999997
0.0,0.16534698176788384,11.409463999999996
0.0,0.24802047265182575,11.219825999999998
0.0,0.3306939635357677,11.689663999999997
0.0,0.4133674544197096,11.147652
0.0,0.4960409453036515,10.956164
0.0,0.5787144361875934,11.367498
0.0,0.6613879270715354,11.340302
0.0,0.7440614179554773,11.578676000000002
0.0,0.8267349088394192,11.833979999999999
0.0,0.9094083997233612,11.964672
0.0,0.992081890607303,11.127656
0.0,1.074755381491245,11.449117999999997
0.0,1.1574288723751869,11.175476
0.0,1.2401023632591288,11.879882000000002
0.0,1.3227758541430708,10.726047999999999
0.0,1.4054493450270127,11.485145999999997
0.0,1.4881228359109546,12.358785999999995
0.0,1.5707963267948966,11.4957
0.16534698176788384,0.0,11.335024
0.16534698176788384,0.08267349088394192,11.597018000000002
0.16534698176788384,0.16534698176788384,12.752833999999993
0.16534698176788384,0.24802047265182575,12.733451999999996
0.16534698176788384,0.3306939635357677,13.296187999999999
0.16534698176788384,0.4133674544197096,14.208124
0.16534698176788384,0.4960409453036515,14.120658
0.16534698176788384,0.5787144361875934,14.283062000000001
0.16534698176788384,0.6613879270715354,15.161106
0.16534698176788384,0.7440614179554773,14.137281999999999
